summ_type,split,example_id,summ_a,summ_b,nli_contrast_ent_score
ref,train,10,The hotel is nicely located in a quiet canal street. It is only walkable distance to many interesting places. Some of these interesting places include Dam Square and Anne Frank's House. The room is quite small. The view of the canal was wonderful. You should try to request a large room. The small room did have a big enough bathroom. The staff at the reception were rude and not very helpful. The staff at the breakfast area were rude and not very helpful. The price of breakfast is reasonable. The quantity of food in breakfast is very limited. The food in breakfast tasted funny. The shower was scalding. The scalding was dangerous.,"The hotel has a great spot on a tranquil canal street. The hotel is within walking distance of many interesting sites. The interesting sites include Dam Square and Anne Frank's House. The space was rather cramped. The outlook of the canal was stunning. Although the space was rather cramped, the outlook of the canal was stunning. You should consider asking for a bigger room. The smaller one had a sizable bathroom. The employees at the front desk were impolite and not very accommodating. The employees at the morning meal area were impolite and not very accommodating. The breakfast was priced reasonably. The breakfast had a small amount of food. The flavor of the breakfast was off. The shower was hot. The hotness of the shower was dangerous.",1.0
ref,train,11,It is really recommended. It is recommended to anyone. This hotel is well-maintained. This hotel has good facilities. This hotel has an upscale but cozy vibe. This hotel has a lovely courtyard and pool. This hotel sits in a perfect location. It is in walking distance to all the key landmarks. The rooms are clean. The bed is super comfortable. The only issue was the shower in the bathroom. The shower would spray outside the stall. The service was outstanding in general. The staff at this hotel are helpful. The staff at this hotel are professional. There were some small teething problems. The housekeeping staff don't work after midnight. The hotel offered chocolates and gingersnaps in the lobby. The hotel offered free breakfast. There is a lovely pool area. Valet parking should be provided.,It is highly suggested. Everyone should try this. This hotel has been kept in excellent condition. The hotel offers a luxurious yet comfortable atmosphere. There is a beautiful courtyard. There is a swimming pool. This hotel is situated in an ideal spot. The hotel is within walking distance to all the important attractions. The chambers are spotless. The mattress is extremely comfortable. The only problem was the shower in the bathroom. The shower would cause water to go outside the shower area. The service provided here at this hotel was remarkable. The staff are both friendly and competent. There were some minor issues to work out. The housekeeping staff does not work past midnight. The hotel provided guests with complimentary chocolates and gingersnaps in the lobby. The hotel provided guests with a complimentary breakfast. The pool area was delightful. Valet service should be offered.,0.926829268292683
ref,train,12,It is a hotel. The hotel is located in Europe. The hotel is charming. The hotel is situated on the River Arno. The hotel is in a quiet locale. The hotel rooms were well decorated. The hotel rooms had fully functioning air conditioning. It was a room with a view. It was definitely a room with a view. The staff at this hotel are really great. The manager was really knowledgeable for local outings. They all work hard. Their goal is to please and meet your needs. You can access the internet via a computer in the hotel lobby. This is a free option. There is a great hotel balcony. It was lovely to sit on. It was great for watching the world go by.,This hotel is located in Europe. The hotel has a lot of charm. The hotel is located by the River Arno. It is a peaceful spot. The hotel rooms had a nice decor. The air conditioning was in good working order. It had an impressive outlook. The personnel at this hotel are fantastic. The manager was extremely well-informed about nearby activities. They all strive to satisfy your requirements. They all strive to accommodate your requirements. You can utilize the internet for free. You can use a computer located in the hotel lobby. It was a pleasure to take a seat on the wonderful hotel balcony. We could observe the hustle and bustle of the world from the balcony.,1.0
ref,train,13,The hotel is ideal for a boisterous and young crowd. The hotel is ideal for a girl's trip. The hotel is close to bus routes into the city. The hotel is a good change of place to stay from the downtown alternatives. The hotel is located in the centre of Lincoln Park. There are restaurants in the area. There is a good nightlife in the area. The hotel itself is located on Clark Street. Clark Street is a shoppers' delight. The hotel has double beds in the single rooms. This is great for one or two people. The rooms are very clean. The drain in the shower needs some attention. The hotel provided a good breakfast to guests. The hotel has good security. Your key card is needed to gain access to elevators or stairwells. There is free WiFi provided. There was some street noise. The street noise was not loud enough to cause concern. It is worth mentioning. It is difficult to park for the valet out front of the hotel.,This hotel is perfect for a lively and youthful group. This hotel is perfect for a ladies' getaway. The hotel is conveniently located near bus routes into the city. It is a great alternative to the downtown lodging options. The hotel is situated right in the heart of Lincoln Park. There are plenty of restaurants nearby. There is an exciting night life nearby. The hotel is situated on Clark Street. Clark Street is a great place for shopping. The single rooms in the hotel feature double beds. The rooms are an ideal choice for one or two people. The rooms were spotless. The shower drain requires some work. The hotel offered breakfast to its patrons. The breakfast was delicious. The hotel has strong safety measures in place. Your key card is required to use the elevators or stairwells. WiFi is available. There is no cost for the WiFi. The sound of the street could be heard. It was not loud enough to be a problem. It is worth noting that there is a challenge in finding a spot for the valet to park. The challenge is at the front of the hotel.,0.9772727272727273
ref,train,14,The hotel is beautiful. The hotel is expensive. There are normally a lot of guests at the hotel. The hotel is popular. The rooms in the hotel are comfortable. The rooms come equipped with a DVD player. The service was truly exceptional. The staff were always pleasant. The hotel did not provide much selection of food. The hotel did not provide anything that was really fresh. The hotel has signature peanut shells on the floor. The peanut shells on the floor are a slipping hazard. The toilets are around the corner. The toilets are below Singapore standards.,The hotel is attractive. The hotel is costly. The hotel is usually well-attended. The hotel's popularity is the reason for its attendance. The lodgings in the hotel are cozy. The lodgings come with a DVD player. The staff provided an outstanding level of service. The staff were consistently friendly. The hotel had limited options for food. Nothing that was particularly fresh was available. The hotel has distinctive peanut shells scattered across the floor. The peanut shells can create a slipping hazard. The lavatories are located near the corner. The lavatories do not meet Singapore's requirements.,1.0
ref,train,15,"This hotel gives a mix of luxury. This hotel gives an odd unsafe feeling. The location was fine. It is on the outskirts of downtown. It is close to everything you need. It is steps away from Eaton Centre, Yonge Street, and great shopping areas. The main location is ideal. The blocks surrounding it aren't ideal. The hotel staff provided local recommendations. The local recommendations were great. The hotel staff was pleasant. The food here is okay. There are hot and cold options for breakfast buffet. It is worth checking restaurants across the road. This hotel provides so many amazing additions. There is a nice swimming pool with hot tubs and locker room facilities. There is a beautiful roof top space with plenty of seating. There is complementary internet access. The only downside is the expensive underground parking.","This hotel provides a luxurious atmosphere. The atmosphere is somewhat disconcerting. The place was satisfactory. It is situated just outside of the city center. There is easy access to the Eaton Centre, Yonge Street, and a variety of shopping options. The area around it is not ideal. Nevertheless, it still exists. The hotel personnel kindly gave suggestions. The suggestions were terrific. The suggestions were about the area. The food here is satisfactory. There are hot and cold choices available at the breakfast buffet. It may be beneficial to examine eateries. The eateries are on the other side of the street too. This hotel offers a great range of amenities. There is a swimming pool with hot tubs and changing rooms. There is a stunning rooftop terrace with plenty of seating. Free Wi-Fi is available. The only drawback is the costly subterranean parking.",0.9473684210526315
ref,train,16,The hotel was attractive. The hotel was clean. The hotel is situated next to the train station. The hotel is situated next to the fire department. This can make it noisy. There are lots of bars nearby. The hotel rooms are clean and comfortable. The hotel rooms may need a slight touch up and redecoration. The room had good disabled access. The bath had good disabled access. The hotel provides a free breakfast buffet in the morning. The hotel provides free hot drinks all day. The free breakfast buffet and hot drinks are popular with families staying. The hotel is close to Rock Bottom Brewery. Rock Bottom Brewery serves really good food. The hotel can provide early check-in. Waiting later can be avoided. It was a nice gesture.,The hotel was visually pleasing. The hotel was well-maintained. The hotel is located close to the train station. The hotel is located close to the fire department. The proximity to these locations can cause a lot of noise. There are numerous drinking establishments. They are close by. The hotel rooms are spotless and cozy. The hotel rooms could use a bit of updating and refurbishing. The space had excellent accommodations for those with disabilities. The bathroom had excellent accommodations for those with disabilities. The hotel offers a complimentary breakfast spread in the morning. The hotel offers complimentary hot beverages throughout the day. The complimentary breakfast and hot beverages are a hit with families who are staying there. The hotel is nearby Rock Bottom Brewery. Rock Bottom Brewery offers delicious cuisine. The hotel offered an early check-in. The hotel did not make us wait until a later time.,0.9166666666666666
ref,train,17,The hotel has all the modern conveniences. The hotel is set out in a classical style. It's super easy to access the city centre from this hotel. This hotel is great for location. Some rooms at this hotel are very elegant and quiet. The beds in these rooms are comfortable. There is even a fireplace in some of these rooms. The shower was great. The walls are really thin. The hotel provides car service. The hotel provided some great food. Every dish tasted great. The taps on the sinks were pretty tight. It is an older building. There seemed to be no soundproofing.,"The hotel is decorated in a traditional manner. The hotel offers all the contemporary amenities. This hotel is in an ideal spot. It is very simple to get to the city centre. It is a great choice for its location. This hotel offers some of the most luxurious and tranquil rooms. The rooms feature comfortable beds. The rooms feature a fireplace. The shower was really enjoyable. The walls are quite thin. The hotel offers a car service. The hotel's cuisine was excellent. Each item was delicious. The faucets on the sinks were quite difficult to turn. Due to the age of the building, there appeared to be no insulation to block out sound.",1.0
ref,train,18,This is overall a really great hotel. It is a bit pricey. It could be quite disturbing if you stay on the front of the hotel. The disturbance is due to the horns from the street. The location of this hotel is absolutely great and central. You can walk to many shops. You can walk to Gaudi's Casa Batllo. You can walk to la Pedrera. The metro station is really close. A standard room at this hotel is smaller than expected. Most of the space is taken by the huge but very comfortable bed inside. The bathrooms were outdated. The bathrooms need some updating. The room service was overpriced. The hotel's breakfast is not worth the money. The lifts were a bit inconvenient. There are only two of small and infrequent ones. Requesting a lift takes a long time. The rooms facing courtyard at the back are quieter. The ones to the front are not as quiet.,"This hotel is really good. It does come at a cost. It could be quite unsettling if you remain at the front of the hotel. The horns are blaring from the street. This hotel is in a wonderful spot. The hotel is right at the heart of the city. It's within walking distance of plenty of shops. It's within walking distance of Gaudi's Casa Batllo. It's within walking distance of La Pedrera. The subway stop is very nearby. The bed inside a standard room at this hotel is quite large and comfortable. The room is smaller than anticipated. The size of the bed takes up most of the space. The bathrooms were outdated. The bathrooms required some renovations. The cost of the room service was high. The hotel's breakfast was not worth the cost. Sadly, the breakfast was not worth the cost. The elevators were somewhat inconvenient. The elevators required a long wait. There were only two elevators. The elevators were small. The elevators were infrequent. Rooms located at the rear of the courtyard are more tranquil. Rooms located at the front are less tranquil.",0.8444444444444444
ref,train,19,The hotel had a spa. The hotel had pools. The spa and pools made it a relaxing time during the stay. The hotel was clean. There were figures made of ice to see. The beach was beautiful. The water was too cold for swimming. The room was spacious. The bed was comfortable. The bathroom was quite small. The staff was friendly. The staff was helpful. They provided great recommendations for local restaurants. The location was convenient for exploring the city. The noise from the street was quite loud. The hotel is ideally located. The location is great for exploring local restaurants and bars in the area. The room was large. The room featured a flat-screen high-definition television. The hotel room was always very clean. Toiletries were always provided upon asking. The price of the food is quite off-putting. They could improve what they offer. Despite being fairly pricey. There were really stunning atria. There was various wildlife to see.,"The hotel provided an atmosphere of relaxation. The hotel had a spa. The hotel had pools. The stay was pleasant. The hotel was spotless. There were sculptures made of ice to admire. The hotel is in an ideal spot. There are nearby eateries and pubs to check out. The room was spacious. The room had a flat-screen HDTV. The accommodation was always spotless. Toiletries could be requested at any time. The cost of the food is quite unappealing. They could enhance the selection they provide. The atria were quite beautiful. The atria had a variety of wildlife to observe. Despite their cost, the atria were beautiful.",0.813953488372093
ref,dev,20,"The hotel has conference rooms available. The conference rooms can be rented out for conferences and corporate events. The location of this hotel makes it easy to access restaurants. The location of this hotel makes it easy to access the river. The location of this hotel makes it easy to access shops. The rooms are a good size. The rooms are well decorated. The bathroom in the hotel was large. The bathroom in the hotel had a large bathtub. Small touches like a chocolate on the pillow are nice. The hotel has a roof terrace. The roof terrace is for drinks. The hotel is missing the availability of a pool. Unfortunately, the hotel is missing the availability of a pool.",The hotel offers conference spaces. The conference spaces can be rented for conferences and corporate gatherings. This hotel is conveniently situated. It is close to restaurants. It is close to the river. It is close to shops. The rooms have a pleasant amount of space. The rooms are attractively arranged. The bathroom in the hotel was spacious. The bathroom featured a sizable bathtub. Adding a small treat such as a chocolate on the pillow. It is a nice gesture. The hotel has a rooftop bar. The rooftop bar serves beverages. The hotel does not have a pool.,1.0
ref,dev,21,This is a hotel. It is located in an excellent place. It is perfect to walk to the entertainment district. It is perfect to walk to pubs and restaurants. Rooms on the higher floors are excellent. They can provide a great view. The room itself is of a lovely quality. The room even had a full kitchen. The full kitchen is incredibly useful. The hotel offers a complimentary breakfast. The breakfast was really good.,This hotel is situated. The location of the hotel is prime. It is ideal to take a stroll to the area of entertainment. There are bars and eateries in the area. Rooms located on upper levels are ideal. They offer a spectacular view. The room was of excellent quality. The room had a full kitchen. Having a full kitchen was a great benefit. The hotel offers free breakfast. The breakfast was incredibly tasty.,1.0
ref,dev,22,"The hotel has a level of homely comfort. Sometimes, it lacks small personal touches. The hotel is connected to a subway. The hotel sits above the Pacific Place shopping mall. It can take a while to travel to the business district. The rooms are really modern. The rooms are lacking in style. The rooms are lacking in space. The hotel has a cafe that provides lunch. The lunch was really expensive and equally as disappointing. You can get drinks from the bar that's in the foyer. The hotel had good facilities available. There was a gym. There was a pool.","The hotel provides a cozy atmosphere. The hotel may be missing small, intimate details. It is accessible by subway. It is located above the Pacific Place shopping mall. It may take some time to get to the business district. The rooms have a contemporary look. The rooms are not very aesthetically pleasing. The rooms are quite cramped. The hotel has a cafe that offers lunch. The lunch was both pricey and unsatisfying. You can purchase drinks from the bar located in the lobby. On the other hand, implies a contrast or alternative option. The hotel had a range of amenities. The amenities included a gym. The amenities included a swimming pool.",0.9655172413793104
ref,dev,23,"The hotel was clean. The hotel was reasonably priced. The hotel needs a makeover. Some of the charges should be lowered to improve it. This hotel is located in a really great area. The area has a handy walk to the shopping area and restaurants. There is a convention centre nearby. The rooms are spacious. The rooms are flawlessly clean. Everything is available that you could possibly need. The bed was unbelievably comfortable. The bed provided a great night's sleep. The hotel is a little bit outdated. The hotel is in need of a bit of an upgrade. The hotel had an expensive breakfast. Overall, the food is great. The pool at the hotel is open for a good amount of time for guests. There is parking available. The parking is a bit expensive. The hotel can help out with the parking.",The hotel was tidy. The hotel was reasonably priced. The hotel could benefit from a revamp. The prices could be reduced to make it more attractive. This hotel is situated in a superb location. It is a convenient stroll to the shopping district and eateries. There is a convention centre in close proximity. The rooms are roomy. The rooms are immaculately tidy. The rooms have all the amenities you could possibly require. The bed was incredibly cozy. The bed gave a fantastic night's rest. The hotel could use some modernizing. The hotel is somewhat old-fashioned. The breakfast at the hotel was pricey. The food was excellent in general. The hotel has a pool. The pool is available for extended periods of time for visitors. The hotel can provide assistance with the costly parking. It is an additional expense.,1.0
ref,dev,24,"This hotel is greatly loved. The hotel is well kept. The hotel is comfortable. Everything you could need in terms of shops and restaurants are really close to this hotel. The hotel is superbly located. There are plenty of attractions. There is a theatre and cathedral just around the corner. Additionally, the attractions are nearby. The view from the luxurious room was really nice. The view was overlooking the courtyard. The view was nice when it was sunny. Rooms can accommodate four people. The rooms are still comfortable. The rooms are really clean. The doorman was always at the entrance of the hotel to greet guests. The great staff were very welcoming. There was a buffet for breakfast. The food provided was great-tasting. There is a great outdoor dining area. The outdoor dining area was well-suited for eating lunch. Additionally, the outdoor dining area was well-suited for eating lunch. There were toiletries available at this hotel. The toiletries were really great. The price was really reasonable. The hotel is comfortable and elegant.","This hotel is much cherished. The hotel is well-maintained. The hotel is cozy. The proximity of the hotel to a variety of stores makes it an ideal location. The proximity of the hotel to a variety of eateries makes it an ideal location. There are numerous sights to see nearby. The nearby sights include a theater and cathedral. In addition, the nearby sights include a theater and cathedral. The scenery from the opulent room was very pleasant. The opulent room looked out onto the courtyard. The sun was shining. The rooms can hold up to four people. The rooms provide a cozy and spotless atmosphere. In addition, these two features are available. The doorman was stationed at the hotel entrance to welcome guests. The staff were very hospitable. A spread of delicious food was available at breakfast. There was a pleasant outdoor space. It was perfect for having lunch. This was in addition to other features (not specified in the sentence). This hotel had toiletries on offer. The toiletries were excellent. The cost was very reasonable. The hotel is luxurious and stylish.",0.9795918367346939
ref,dev,25,"The hotel is great. The hotel provides a safe place to stay. It is a favorite. It is a favorite with guests. The hotel is close to the metro line. The hotel is close to Rembrandt Square. The hotel is away from the louder tourist areas. The room was quite small at this hotel. The room was quite modern and clean. Everything was wheelchair-accessible, which was fantastic. There was no shower curtain. The bathroom floor was somewhat wet. The staff were at the front desk. The staff were unhelpful to guests. The hotel provides a fantastic selection of food. The food is in their seafood bistro. The WiFi is in the hotel lobby. The WiFi in the hotel lobby is very slow. The carpet was dirty. The exterior of the hotel is noisy and overcrowded.",The accommodation at the hotel is excellent. The hotel offers a secure environment for visitors. Many guests enjoy it. The hotel is situated near the metro line. The hotel is situated near Rembrandt Square. The hotel is far from the noisier tourist spots. The hotel had a cramped room. The room was up-to-date. The room was spotless. The accessibility for wheelchairs was great. The lack of a shower curtain meant the bathroom floor was a bit damp. The personnel were at the reception. The personnel were not accommodating to visitors. The hotel has a seafood restaurant. The seafood restaurant has an amazing array of dishes. The WiFi is in the hotel lobby. The WiFi is running at a sluggish speed. The carpet was grubby. The outside of the hotel was loud and packed.,1.0
ref,dev,26,This is a great hotel. The hotel is little. It isn't a full-on resort. It was nice all the same. There are many things to do. They are within walking distance. The hotel rooms are smaller. The hotel rooms are clean. The hotel rooms are furnished well with antiques for some charm. The breakfast was at the hotel. The breakfast was adequate. The coffee was great. There were some items missing. There was a run-down feel here. The carpeting did not help. The atmosphere was worn-down. The elevators weren't that big. A surfboard could not even fit in it.,This is a small hotel. This hotel is excellent. It may not have been a luxurious resort. It was still pleasant. There are numerous activities. The activities can be done within a short stroll. The hotel rooms may be on the smaller side. The hotel rooms are tidy. The hotel rooms are tastefully decorated with vintage pieces. The vintage pieces add a touch of character. The hotel provided breakfast. The breakfast was satisfactory. The coffee was superb. There were a few things absent. The atmosphere was rundown. The carpeting was present. The ambiance was dilapidated. The carpeting did not improve the ambiance. The elevators weren't very spacious. A surfboard would not be able to fit inside.,1.0
ref,dev,27,The hotel is tranquil and clean. It is an enjoyable place to stay whilst in Rome. The hotel is close to a number of local restaurants. The hotel is close to the busier areas of Rome. The rooms in the hotel are adequate. The bathrooms are spacious. The staff leave a chocolate on the beds. They do this each night. This is for their guests. The buffet breakfast was very good. The hotel's corridors were quite plain. The corridors could benefit from some decoration. The free Wi-Fi worked well. The Bulgari toiletries smelled lovely.,The hotel is peaceful. The hotel is spotless. The hotel is altogether a pleasant place to stay while in Rome. The hotel is situated near various eateries. The hotel is situated near the livelier parts of Rome. The hotel's accommodations are satisfactory. The bathrooms are roomy. The personnel place a piece of chocolate on the beds of their customers. This happens each evening. There was a spread of food. The spread was at the breakfast buffet. The spread of food was excellent. The hallways of the hotel were rather plain. The hallways could use some adornment. The Wi-Fi connection was efficient. The Bulgari toiletries had a pleasant scent.,1.0
ref,dev,28,The hotel provided a great stay. The hotel is really recommended. The hotel is closely located. The hotel is located to Giotto's Campanile. The rooms in this hotel are really great. The rooms in this hotel are quite spacious. There was outside noise from the bells in the morning. It was difficult to navigate the hotel. The difficulty was due to the floor layout.,The hotel gave an excellent stay. The hotel is impeccable. The hotel is highly suggested. The hotel is in close proximity to Giotto's Campanile. This hotel has some really terrific rooms. The rooms are quite roomy. The bells in the morning created some noise. The noise was from outside. It was challenging to find one's way around the hotel. The floors were laid out in a confusing way.,1.0
