summ_type,split,example_id,summ_a,summ_b,summ_comm,nli_contrast_agg_score
ref,train,10,"The hotel is nicely located in a quiet canal street with being only walkable distance to many interesting places like Dam Square and Anne Franks House. While the room is quite small, the view of the canal was wonderful. You should try to request a large rom, although the small room did have a big enough bathroom. The staff at the reception and breakfast area were rude and not very helpful. Although with a reasonable price, the breakfast has very limited quantity and the food tasted funny. The shower was scallding dangerously.","

The hotel is situated in a peaceful canal street, conveniently close enough by to walk to lots of historic sights like the Dam Square and Anne Franks House. The room itself was rather tiny but it afforded you a fantastic view of the canal. It would be best to book a bigger room, though the small room had a surprisingly large bathroom. The personnel at the reception desk and breakfast room were not at all friendly and their service was quite appalling. Despite its low cost, the breakfast selection was sparse and the food not up to very much.","

This hotel is located adjacent to some of the city's most iconic spots, like the Dam Square and Anne Franks House and is set along a tranquil canal. Unfortunately, the room itself was diminutive, however, it featured a captivating view of the canal. We suggest reserving a bigger room as the one we stayed in had a surprisingly large bathroom. Furthermore, the reception and breakfast personnel were far from friendly and their hospitality was dreadful. Additionally, considering the cost, the breakfast options were poor quality and limited.",0.5395688822878159
ref,train,11,"Really recommended to anyone. This well-maintained hotel has good facilities, upscale but cozy vibe, and lovely courtyard and pool. This hotel sits in a perfect location and in walking distance to all the key landmarks. The rooms are clean and the bed is super comfortable. The only issue was the shower in the bathroom, which would spray outside the stall. The service was outstanding in general; the staff here at this hotel are both helpful as well as professional. But there were some small teething problems , for example the housekeeping staff don't work after midnight. The hotel offered really chocolates and gingersnaps in the lobby and free breakfast. Lovely pool area. The valet parking should be provided.","

Highly recommended to anyone. This well-kept hotel feature great amenities, comfortable but luxurious vibes, and a wonderful courtyard and pool. It is in just the right location and a short walk to all the main attractions. The rooms are spotless and the mattress is incredibly comfortable. The only issue was the shower, which had some leakage outside the cubicle. The service was generally excellent; the staff here are both accommodating and professional. There were a few minor hiccups, such as the cleaning staff not functioning after 12am. Additionally, the hotel had wonderful chocolates and germsnaps in the lobby and free breakfast. The pool area was great. Valet parking should be an available service.","

It is strongly recommended to check out this well-kept hotel that provides magnificent amenities, a relaxed yet upscale atmosphere, and a stunning courtyard and pool. Being in a prime spot and only short jaunt away from all the major sites, it is a worthwhile stay. The rooms are pristine and the bedding is extremely cozy. The only issue we noticed was a slight leak from the shower. The service was top-notch and the personnel were both accommodating and professional. There were minimal glitches like the cleaning crew not being accessible after midnight. In addition, the lobby had complimentary chocolate and german cookies and a continental breakfast. The pool area was amazing. It would be helpful to have a valet parking service.",0.5832508850685613
ref,train,12,"It is a charming European hotel. The hotel is situated on the River Arno and is a quiet locale. The hotel rooms were well decorated and with fully functioning air conditioning. It was definitely a room with a view. The staff here at this hotel are really great and the manager was also really knowledgeable for local outings. They all work hard to please and meet your needs. You can access the internet via a computer in the hotel lobby and this is a free option. There is also a great hotel balcony, which was lovely to sit on and watch the world go by.","

This European hotel has a great location directly on the River Arno, providing guests with a tranquil and pleasant atmosphere. The hotel rooms were lavishly outfitted, including a functioning air conditioning unit, and offered a fantastic view. The employees of the hotel were incredibly helpful and the supervisor was familiar with interesting sights and activities nearby. Additionally, visitors can use the computer in the hotel lobby free of charge to access the internet. On top of that, there is a lovely balcony which is the perfect spot for guests to relax and observe their surroundings.","

This European hotel has a prime location situated along the River Arno, providing a relaxed and pleasant ambiance to anyone that stays there. The hotel rooms were luxuriously decorated, featuring air conditioning, and offered wonderful sights. The staff were extremely beneficial and the manager was knowledgeable on exciting places and adventures nearby. In addition, visitors can take advantage of the computer in the lobby with no fees in order to get online. Furthermore, there is a beautiful terrace which is a wonderful place for travelers to unwind and take in their environment.",0.6395207157625277
ref,train,13,"The hotel is ideal for a boisterous and young crowd, such as a girl's trip. The hotel is close to bus routes into the city and is a good change of place to stay from the downtown alternatives. The hotel is located in the centre of Lincoln Park with restaurants and a good night life. The hotel itself is located on Clark Street which is a shoppers' delight. The hotel has double beds in the single rooms which is great for one or two people. The rooms are very clean although the drain in the shower needs some attention.The hotel provided a good breakfast to guests. The hotel has good security, as your key card is needed to gain access to elevators or stairwells. There is free WiFi provided too. There was some street noise but not loud enough to cause concern. It is worth mentioning that it is difficult to park for the valet out front of the hotel.","

This hotel is a great option for the younger and more spirited crowd, such as a girl's trip. It is conveniently located near bus stops into the city centre and offers views and proximity to a number of restaurants and activities in Lincoln Park. Clark Street, which is within walking distance of the hotel, is also a consumer's paradise. The single bedrooms come with two beds, making them suitable for one or two people, and the cleanliness of the rooms, apart from some drain problems in the showers, was top notch. There are also two important amenities for guests at this hotel- a hearty breakfast, and reliable security which requires the use of a key card to enter into certain elevators and stairwells. Plus, the WiFi is free! The only thing worth noting is the limited parking availability, as well as some street noise, but it's minor enough to be barely noticeable.","

This lodging is a great choice for vibrant groups of people, such as a girls' trip. It is close to bus stops into the downtown and has views and is close to numerous dining places and attractions in Lincoln Park. Clark Street is not far away either, which is a shopper's paradise. The single rooms provide both beds, so they can be used by one person or two and the toilet was very clean besides some trouble with the drain in the shower. There are two exemplary amenities for visitors of the hotel - an ample breakfast and well-rounded security that requires an access card for certain lifts and stairs. Furthermore, the Wi-Fi is complimentary. The only thing to mention is that there is minimal parking space and some street noise but they are minute and pretty much unnoticeable.",0.6827755234191816
ref,train,14,The hotel is beautiful but expensive. There are normally a lot of guests at the hotel as it is popular. The rooms in the hotel are comfortable and come equipped with a DVD player. The service was truly exceptional from the staff who were all always pleasant. The hotel did not provide much selection of food or anything that was really fresh. The hotel has signature peanut shells on the floor which are a slipping hazard. The toilets around the corner are below Singapore standards.,"

The hotel is stunning but costly. It has a lot of visitors since it is widely liked. The bedrooms are comfortable and come with a DVD player. The staff members' service was perfect, always cheerful. Unfortunately, the hotel does not have a great selection of food and some of it was not very fresh. What was hazardous, though, were the peanut shells on the ground. The toilets near the corner are not up to Singapore's standards.","

The hotel is lovely, but pricey. It is immensely popular with many visitors staying due to its fantastic reputation. The bedrooms are cozy and come with a DVD player. The employees provided exemplary service, all of whom were amazingly cheerful. Unfortunately, the food was not all good as some of it wasn't very fresh. What was concerning, though, were the peanut shells littered on the ground. The restrooms located at the corner do not reach Singapore's standards.",0.5845004856089328
ref,train,15,"This hotel gives a mix of luxury and odd unsafe feeling. The location was fine. It is on the outskirts of downtown and close to everything you need: it is steps away from Eaton Centre, Yonge Street, and great shopping areas. However, the blocks surrounding it aren't ideal. The hotel staff pleasantly provided lots of great local recommendations. The food here is okay including the hot and cold options for breakfast buffet. It is worth checking restaurants across the road as well. This hotel provides so many amazing additions, such as a nice swimming pool with hot tubs and locker room facilities, a beautiful roof top space with plenty of seating, and complementary internet access. The only downside is the expensive underground parking.","

This hotel offers a luxurious experience but some may find it uneasy due to its location. Being just steps away from the Eaton Centre, Yonge Street, and other various shopping areas, it has convenient placement. Sadly, the blocks surrounding the hotel may not be up to par. However, the friendly staff were more than willing to provide travelers with local tips and recommendations. As far as food goes, the hot and cold options served at the breakfast buffet are okay but it may be worth looking into what restaurants across the street have to offer. The hotel also has several great amenities making it a desirable place to stay such as its swimming pool with hot tubs and locker room facilities, a stunning roof top seating area, and Wi-Fi access","

This hotel offers a grand stay, though some may have reservations due to its locality. Being just a few steps away from the Eaton Centre, Yonge Street, and several other shopping areas, it is certainly easy-to-reach. Unfortunately, the neighborhood may not be entirely appealing. Nonetheless, the hotel personnel was more than happy to offer tourists useful tips and takes on the area. As for grub, the warm and cold dishes available at the morning buffet are acceptable, but you may want to check out what restaurants across the street have to provide. Moreover, great services such as a swimming pool with hot tubs and lockers, an amazing roof top seating area, and Wi-Fi are all provided—making this an ideal vacation place.",0.6358674868099656
ref,train,16,"The hotel was attractive and clean. The hotel is situated next to the train station but also next to the fire department which can make it noisy. There are lots of bars nearby. The hotel rooms are clean and comfortable, although perhaps in need of a slight touch up and redecoration. The room had good disabled access, including the bath. The hotel provides a free breakfast buffet in the morning, as well as free hot drinks all day, which is popular with families staying. The hotel is also close to Rock Bottom Brewery, which serves really good food. The hotel can provide early check-in instead of waiting later, which was a nice gesture.","

The hotel had a pleasant appearance and was immaculate. It was conveniently located by the railway station and close to the fire department, generating some noise. The area was populated with plenty of pubs. The accommodation was clean and inviting, though it could benefit from a refresh. The restroom was wheelchair friendly, inclusive of the bathtub. Every morning, visitors could feast on a complimentary breakfast spread and hot beverages for the entire day - a great option for groups. Within short walking distance, Rock Bottom Brewery let out sensational meals. If arrival was earlier than expected, the hotel could also provide early check-in, which was a considerate gesture.","

The hotel was attractive and well-kept. Its nearness to the railway station and fire department made it the ideal spot, though it did have some noise due to the busy area. The guest rooms were inviting and comfortable, yet they could use an upgrade. The wheelchair accessible bathroom, complete with a bathtub, was a nice touch. Every morning, guests could enjoy a complimentary breakfast and hot drinks for the whole day, making it well suited for groups. Rock Bottom Brewery, which was just a brief stroll away, provided delicious meals. Additionally, if individuals needed to check-in early, the hotel was more than willing to accommodate them.",0.661371933677745
ref,train,17,"The hotel has all the modern conveniences but is set out in a classical style. It's super easy to access the city centre from this hotel, making it a great hotel for location. At this hotel some rooms are very elegant and quiet with comfortable beds and even a fireplace. The shower was great, too, but the walls are really thin. The hotel even provides car service. The hotel provided some great food and every dish tasted great. Unfortunately the taps on the sinks were pretty tight and because it is an older building there seemed to be no soundproofing.","

This hotel has all the updated amenities, but is decorated in a traditional fashion. It is incredibly quick and easy to get to the downtown area, making it an ideal choice for location. The rooms are very grand and tranquil, including comfortable beds and fireplaces. The showers were remarkable, however the walls were quite thin. In addition, it offers car service. Not only was the cuisine scrumptious but all dishes were delectable. Unfortunately, the sink faucets were quite stiff and since it is an older structure, there was no soundproofing.","

This hotel boasts up-to-date facilities, but with a classic look. It is conveniently located close to the downtown area. The rooms have a luxurious and peaceful atmosphere and include features like comfortable mattresses and fireplaces. The showers had amazing quality, but the walls were fairly thin. Besides, they provide a car service option. The food is wonderful, and all the dishes tasted great. Unfortunately, the sink faucets were a bit trickey to use and due to its age, there was no soundproofing.",0.5756763098195787
ref,train,18,"This is overall a really great hotel but a bit pricey. It could be quite disturbing if you stay on the front of the hotel due to the horns from the street. The location of this hotel is absolutely great and central, you can walk to many shops, Gaudi 's Casa Batllo , and la Pedrera. The metro station is also really close. A standard room at this hotel is smaller than expected, with most of the space being taken by the huge but very comfortable bed inside. The bathrooms was outdated and need some updating. The room service was overpriced. Unfortunately the hotel's breakfast definitely not worth the money. The lifts were a bit inconvenient and request long time wait because there are only two of small and infrequent ones. Also, the rooms facing courtyard at the back are quieter than the ones to the front.","

This hotel was overall really great, but a bit expensive. If you stay on the front side, the horns from the street might be bothersome. The location was very central, so you could walk to attractions like Gaudi's Casa Batllo and La Pedrera. The metro was also close by. The standard room was smaller than anticipated, and the bed took up a lot of the space, but it was comfortable. The bathrooms need some updating, and the room service was costly. The breakfast was not worth the money. The lifts were slow and waiting long periods of time was common since there were only two of them. Staying in a room that faces the courtyard at the back of the hotel ensures more quietness than those at the front.","

This hotel was quite good, but it was quite costly. Being situated in the city center, you can take a walk to Gaudi's Casa Batllo and La Pedrera. The metro station is close, too. The standard space was not as big as expected, and the bed filled up a big part of the area, but it was very comfortable. Things like bathroom fixtures and the room service rates should be improved. Additionally, the breakfast didn't deserve the money they asked. The elevators were slow and passengers had to wait a lot of time, because there were only two of them. If you choose a room facing the courtyard in the back, you will have more peacefulness than the ones that face the street in the front.",0.6849176288844405
ref,train,19,The hotel had a spa and pools that made it a relaxing time during the stay. The hotel was clean and there were also figures made of ice to see. The hotel is ideally located to explore local restaurants and bars in the area. The room was large and featured a flat-screen high-definition television. The hotel room was always very clean and toiletries were always provided upon asking. The price of the food is quite off-putting and they could improve what they offer. Despite being fairly pricey there were really stunning atria with various wildlife to see.," 

The hotel had a spa and pools that provided a relaxing atmosphere during the stay. In addition to the cleanliness of the property, the figures made of ice were a delightful surprise. Its location made it easy to enjoy the local restaurants, bars and wildlife nearby. The room was sizable with a flat-screen high-definition television, and all toiletries were made readily available upon request. Unfortunately, the food prices were quite expensive and could be improved. Nevertheless, the vibrant atria were breathtaking with a variety of wildlife to view.","

Staying at the hotel, guests could experience a tranquil atmosphere between the spa and the pools. Plus, the property was pristine, and surprising sculptures made of ice decorating the lobby. Its prime location made it easy to explore the nearby restaurants, bars and animals. The room was roomy, having a flat-screen, HD television and toiletries were immediately provided after asking. However, the food prices were rather steep and could use some adjustments. In any case, the vibrant atriums were a sight to behold, with various wildlife around.",0.6461560738411446
ref,dev,20,"The hotel has conference rooms available to rent out for conferences and corporate events. The location of this hotel makes it easy to access restaurants, the river and shops. The rooms are a good size and well decorated. The bathroom in the hotel was large and with a large bathtub. Small touches like a chocolate on the pillow are also nice. The hotel has a roof terrace for drinks. Unfortunately the hotel is missing the availability of a pool.","

This hotel is located conveniently near restaurants, the river and shops, making it a great place to rent out for a conference or corporate event. The rooms are roomy and nicely outfitted. The bathrooms are especially large, some with bathtubs, and small amenities like a chocolate on the pillow make it feel especially homey. For refreshment, there is a roof terrace bar. The only downside is the lack of a pool.","

This property is situated in a prime spot, with nearby eateries, the waterway, and shops all close by, making it the perfect spot for a convention or work gathering. The lodgings are sizable and feature nice furnishings. The bathrooms, several with tubs, are particularly huge and special little surprises like a sweet on the cushion make it feel like a home away from home. On the rooftop there is a beverage deck for a quick refresher",0.6028315704634064
ref,dev,21,"This is a hotel located in an excellent place. It is perfect to walk to the entertainment district as well as pubs and restaurants. Rooms on the higher floors are excellent as they can provide a great view. The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful. The hotel's complimentary breakfast was really good.","

This hotel is situated in a prime location, just a short walk away from the district for nightlife, eateries, and bars. The higher levels of the hotel offer splendid views, as well as quality lodgings that come with a kitchen area, providing plenty of convenience. On top of that, the establishment serves an excellent complimentary breakfast.","

This hotel is in an excellent spot, right around the corner from a district filled with restaurants, bars, and places to have a good time. Guests have wonderful views from the upper floors, and their rooms are of top quality and have a kitchenette, making it really easy to stay here. Moreover, a complimentary breakfast is included with each stay.",0.4650695765803656
ref,dev,22,"The hotel has a level of homely comfort, but sometimes lack small personal touches, The hotel is connected to a subway and sits above the Pacific Place shopping mall., however it can take a while to travel to the business district. The rooms are really modern but unfortunately lacking in style and space. The hotel has a cafe that provides lunch but it was really expensive and equally as disappointing, however you can get drinks from the bar that's in the foyer. The hotel had good facilities available, such as a gym and a pool.","

The hotel has a homely atmosphere, but it can be missing small, personalized touches. It is conveniently connected to a subway station and sits above the Pacific Place shopping mall, but getting to the business district may be a longer jouney. The rooms are modern, though their size and decoration can be lacking. The cafe provides lunch, but at a hefty price and the food has been known to be a bit underwhelming. The hotel's saving grace lies in its many facilities, such as a gym and pool.","

The atmosphere at the hotel is welcoming and warm, however, it may fail to provide some of the necessary personalized details. It is conveniently located near the subway station, and is situated over the Pacific Place mall. There may be a lengthy journey to the business district, but the rooms have modern touches, if a bit small and plain. The cafe provides lunch but the prices are steep and the food does not live up to expectation. Fortunately, the hotel has many facilities such as a gym and a pool to make up for its shortcomings.",0.508123807454674
ref,dev,23,"The hotel was clean and reasonably priced. The hotel does need a makeover and would improve if some of the charges were lowered. This hotel is located in a really great area with a really handy walk to the shopping area and restaurants, as well as a convention centre nearby. The rooms are spacious and flawlessly clean with everything available that you could possibly need. The bed was unbelievably comfortable and provide a great night's sleep. The hotel is a little bit outdated and in need of a bit of an upgrade though. The hotel had an expensive breakfast however overall the food is great. The pool at the hotel is open for a good amount of time for guests. There is also parking available which is a bit expensive, but the hotel can help out with it.","

The accommodation was spotless and affordably priced. It definitely needs some modernising, but if the costs were reduced, it would almost certainly be enhanced. The area the hotel is situated in is great - nearby to lots of shops, cafes and a conference centre. The bedrooms in the hotel are spacious and tidy with any requirement for comfort stored in the suite. The bedding was so comfortable and offered a wonderful night’s sleep. Although, the hotel is a bit outdated and in need of some renovations. The breakfast provided is expensive, the remainder of their food selection is top notch. Guests can avail of the swimming pool for a considerable amount of time. Although the parking can be quite pricey, the hotel willing to help out.","

The accommodation was spotlessly clean and reasonably priced. It definitely requires some updating, but if the costs were decreased it would in all likelihood be improved. The area the hotel is based in is great - close to plenty of shops, cafes and a conference centre. The hotel rooms are spacious and tidy with everything needed for comfort included. The bedding was incredibly comfortable and enabled for a great night's sleep. Although the hotel is somewhat outdated and is in need of some refurbishments. The breakfast is an additional cost, but the rest of the menu selection is of a very high quality. Guests have access to the pool for a decent amount of time. Although parking can be quite pricey, the hotel is happy to help.",0.6324021741286788
