summ_type,split,example_id,summ_a,summ_a_neg,nli_contrast_agg_score
ref,train,10,The hotel is nicely located in a quiet canal street. It is only a walkable distance to many interesting places. Some of the interesting places include Dam Square and Anne Franks House. The room is quite small. The view of the canal was wonderful. You should try to request a large room. The small room did have a big enough bathroom. The staff at the reception were rude and not very helpful. The staff at the breakfast area were rude and not very helpful. The price is reasonable. The breakfast has very limited quantity. The food tasted funny. The shower was scalding. The scalding was dangerous.,The hotel is terribly located in a noisy canal street. It is not a walkable distance to any interesting places. Some of the interesting places do not include Dam Square and Anne Franks house. The room is quite large. The view of the canal was horrible. You should not try to request a large room. The small room did have a big enough bathroom. The staff at the reception were nice and very helpful. The staff at the breakfast area were nice and very helpful. The price is not reasonable. The breakfast has very abundant quantity. The food tasted great. The shower was freezing. The scalding was safe.,0.8333333333333334
ref,train,11,Really recommended to anyone. This hotel is well-maintained. This hotel has good facilities. This hotel has an upscale but cozy vibe. This hotel has a lovely courtyard and pool. This hotel sits in a perfect location. It is in walking distance to all the key landmarks. The rooms are clean. The bed is super comfortable. The only issue was the shower in the bathroom. The shower would spray outside the stall. The service was outstanding in general. The staff here at this hotel are helpful. The staff here at this hotel are professional. There were some small teething problems. The housekeeping staff don't work after midnight. The hotel offered chocolates and gingersnaps in the lobby. The hotel offered free breakfast. There is a lovely pool area. Valet parking should be provided. ,Really recommended to no one. This hotel is poor-maintained. This hotel has bad facilities. This hotel has a downmarket and uncomfortable vibe. This hotel does not have a courtyard or a pool. This hotel sits in a bad location. It is not in walking distance to any of the key landmarks. The rooms are dirty. The bed is super uncomfortable. The only non-issue was the shower in the bathroom. The shower did not spray outside the stall. The service was disappointing in general. The staff here at this hotel are unhelpful. The staff here at this hotel are unprofessional. There were no teething problems. The housekeeping staff do work after midnight. The hotel offered no chocolates or gingersnaps in the lobby. The hotel offered no free breakfast. There is a horrible pool area. Valet parking should not be provided.,1.0
ref,train,12,It is a hotel. The hotel is located in Europe. The hotel is charming. The hotel is situated on the River Arno. The hotel is in a quiet locale. The hotel rooms were well decorated. The hotel rooms had fully functioning air conditioning. It was a room. The room had a view. The staff at this hotel are really great. The manager was really knowledgeable for local outings. They all work hard. Their goal is to please and meet your needs. You can access the internet via a computer in the hotel lobby. This is a free option. There is a great hotel balcony. It was lovely to sit on. It was great for watching the world go by.,It is not a hotel. The hotel is not located in Europe. The hotel is not charming. The hotel is not situated on the River Arno. The hotel is in a noisy locale. The hotel rooms were undecorated. The hotel rooms had no fully functioning air conditioning. It was not a room. The room had no view. The staff at this hotel are really bad. The manager was really unknowledgeable for local outings. None of them work hard. Their goal is not to please or meet your needs. You cannot access the internet via the computer in the hotel lobby. This is not a free option. There is a terrible hotel balcony. It was horrible to sit on. It was terrible for watching the world go by.,1.0
ref,train,13,The hotel is ideal for a boisterous and young crowd. The hotel is ideal for a girl's trip. The hotel is close to bus routes into the city. The hotel is a good change of place to stay from the downtown alternatives. The hotel is located in the centre of Lincoln Park. There are restaurants nearby. There is a good night life nearby. The hotel itself is located on Clark Street. Clark Street is a shoppers' delight. The hotel has double beds in the single rooms. This is great for one or two people. The rooms are very clean. The drain in the shower needs some attention. The hotel provided a good breakfast to guests. The hotel has good security. Your key card is needed to gain access to elevators or stairwells. There is free WiFi provided. There was some street noise. The noise was not loud enough to cause concern. It is worth mentioning that it is difficult to park for the valet out front of the hotel.,"The hotel is not ideal for a boisterous and young crowd. The hotel is not ideal for a girl's trip. The hotel is far from bus routes into the city. The hotel is similar to downtown alternatives, as a place to stay. The hotel is not located in the centre of Lincoln Park. There are restaurants far away. There is no good night life nearby. The hotel is not located on Clark Street. Clark Street is a shoppers' knightmare. The hotel has single beds in the single rooms. This is bad for one or two people. The rooms are very dirty. The drain the shower does not need any attention. The hotel provided a bad breakfast to guests. The hotel has terrible security. Your key card is not needed to gain access to elevators or stairwells. There is no free WiFi provided. There was no street noise. The noise was loud enough to cause concern. It is worth mentioning that it is easy to park for the valet out front of the hotel.",1.0
ref,train,14,The hotel is beautiful. The hotel is expensive. There are normally a lot of guests at the hotel. The hotel is popular. The rooms in the hotel are comfortable. The rooms in the hotel come equipped with a DVD player. The service was truly exceptional. The staff were always pleasant. The hotel did not provide much selection of food. The hotel did not provide anything that was really fresh. The hotel has signature peanut shells on the floor. The peanut shells on the floor are a slipping hazard. The toilets are around the corner. The toilets are below Singapore standards.,The hotel is ugly. The hotel is not expensive. There are normally no guests at the hotel. The hotel is not popular. The rooms in the hotel are uncomfortable. The rooms in the hotel are not equipped with a DVD player. The service was unexceptional. The staff were always not pleasant. The hotel did provide much selection of food. The hotel did provide anything that was really fresh. The hotel does not have signature peanut shells on the floor. The peanut shells on the floor are not a slipping hazard. The toilets are very far away. The toilets are above Singapore standards.,1.0
ref,train,15,"This hotel gives a mix of luxury. This hotel gives an odd unsafe feeling. The location was fine. It is on the outskirts of downtown. It is close to everything you need. It is steps away from Eaton Centre, Yonge Street, and great shopping areas. The block surrounding it isn't ideal. However, this is in contrast to the previous statement or situation. The hotel staff provided local recommendations. The recommendations were great. The hotel staff was pleasant. The food here is okay. There are hot and cold options for breakfast buffet. It is worth checking restaurants across the road. This hotel provides many amazing additions. There is a nice swimming pool with hot tubs and locker room facilities. There is a beautiful rooftop space with plenty of seating. There is complementary internet access. The only downside is the expensive underground parking.","This hotel does not have luxury in its mix. The hotel gives a very safe feeling. The location was not fine. It is right in the middle of downtown. It is far from everything you need. It is very far away from Eaton Centre, Yonge Street, and great shopping areas. The block surrounding it is ideal. However, this is in line with the previous statement or situation. The hotel staff provided no local recommendations. The recommendations were terrible. The hotel staff was not pleasant. The food here is great. There are no hot and cold options for breakfast buffet. It is  not worth checking restaurants across the road. This hotel provides no additions. This is a terrible swimming pool without hot tubs or locker room facilities. There is an unsightly rooftop space without any seating. There is no complementary internet access. The only upside is the cheap above-ground parking.",0.8888888888888888
ref,train,16,The hotel was attractive. The hotel was clean. The hotel is situated next to the train station. The hotel is situated next to the fire department. The location can be noisy due to its proximity to the fire department. There are lots of bars nearby. The hotel rooms are clean and comfortable. The hotel rooms may be in need of a slight touch up and redecoration. The room had good disabled access. The bath had good disabled access. The hotel provides a free breakfast buffet in the morning. The hotel provides free hot drinks all day. The free breakfast buffet and free hot drinks are popular with families staying. The hotel is close to Rock Bottom Brewery. Rock Bottom Brewery serves really good food. The hotel can provide early check-in. Waiting later can be avoided. It was a nice gesture.,The hotel was unattractive. The hotel was dirty. The hotel is situated far from the train station. The hotel is situated far from the fire department. The location is peaceful since it is far from the fire department. There are few bars nearby. The hotel rooms are dirty and uncomfortable. The hotel rooms do not need a touch up or redecoration. The room had bad disabled access. The bath had bad disabled access. The hotel provides no free breakfast buffet in the morning. The hotel provides no free hot drinks all day. The expensive breakfast buffet and hot drinks are not popular with families staying. The hotel is far from Rock Bottom Brewery. Rock Bottom Brewery serves really bad food. The hotel can not provide early check-in. Waiting later is unavoidable. It wasn't a nice gesture.,1.0
ref,train,17,The hotel has all the modern conveniences. The hotel is set out in a classical style. It's super easy to access the city centre from this hotel. This hotel is great for location. Some rooms at this hotel are very elegant and quiet. The beds in these rooms are comfortable. Some of these rooms even have a fireplace. The shower was great. The walls are really thin. The hotel provides car service. The hotel provided some great food. Every dish tasted great. The taps on the sinks were pretty tight. It is an older building. There seemed to be no soundproofing.,The hotel has no modern conveniences. The hotel is set out in a modern style. It's super difficult to access the city centre from this hotel. This hotel is terrible for location. None of the rooms at this hotel is elegant or quiet. The beds in these rooms are uncomfortable. None of these rooms have a fireplace. The shower was bad. The walls are really thick. The hotel does not provide car service. The hotel provided some bad food. Every dish tasted bad. The taps on the sinks were pretty loose. It is a newer building. There seemed to be total soundproofing.,1.0
ref,train,18,This is overall a really great hotel. The hotel is a bit pricey. Staying on the front of the hotel could be quite disturbing. The disturbance is due to the horns from the street. The location of this hotel is absolutely great and central. You can walk to many shops. You can walk to Gaudi's Casa Batllo. You can walk to la Pedrera. The metro station is really close. A standard room at this hotel is smaller than expected. Most of the space is taken by the huge but very comfortable bed inside. The bathrooms were outdated. The bathrooms need some updating. The room service was overpriced. The hotel's breakfast is not worth the money. The lifts were a bit inconvenient. There are only two of small and infrequent ones. Requesting the lifts takes a long time wait. The rooms facing courtyard at the back are quieter. The ones to the front are not as quiet.,This is overall a really horrible hotel. The hotel is good value. Staying on the front of the hotel could be quite pleasant. The quiet is due to the lack of horns from the street. The location of this hotel is absolutely terrible and central. You can not walk to many shops. You can not walk to Gaudi's Casa Batllo. You can not walk to la Pedrera. The metro station is really far. A standard room at this hotel is bigger than expected. None of the space is taken by the small and uncomfortable bed inside. The bathrooms were modern. The bathrooms did not need some updating. The room service was rcheap. The hotel's breakfast is worth the money. The lifts were convenient. There are ony two of big and frequent ones. Requesting the lifts takes a very short time wait. The rooms facing courtyard at the back are louder. The ones to the front are not as loud.,1.0
ref,train,19,The hotel had a spa. The hotel had pools. The spa and pools made it a relaxing time during the stay. The hotel was clean. There were figures made of ice to see. The hotel is ideally located. The location allows for exploring local restaurants and bars in the area. The room was large. The room featured a flat-screen high-definition television. The hotel room was always very clean. Toiletries were always provided upon asking. The price of the food is quite off-putting. They could improve what they offer. Despite being fairly pricey. There were really stunning atria. There was various wildlife to see.,The hotel does not have a spa. The hotel does not have pools. The spa and pools made it an uncomfortable time during the stay. The hotel was dirty. There were no figures made of ice to see. The hotel is not ideally located. The location does not allow for exploring local restaurants and bars in the area. The room was small. The room featured a flat-screen low-definition television. The hotel room was always very dirty. Toiletries were never provided upon asking. The price of the food is good. They do not need to improve what they offer. Despite being fairly cheap. There were no stunning atria. There weren't any wildlife to see.,1.0
ref,dev,20,The hotel has conference rooms available. The conference rooms can be rented out for conferences and corporate events. The location of this hotel makes it easy to access restaurants. The location of this hotel makes it easy to access the river. The location of this hotel makes it easy to access shops. The rooms are a good size. The rooms are well decorated. The bathroom in the hotel was large. The bathroom in the hotel had a large bathtub. Small touches like a chocolate on the pillow are nice. The hotel has a roof terrace. The roof terrace is for drinks. The hotel is missing the availability of a pool. Unfortunately.,The hotel doesn't have conference rooms available. There are no conference rooms that can be rented out for conferences and corporate events. The location of this hotel makes it very difficult to access restaurants. The location of this hotel makes it very difficult to access the river. The location of this hotel makes it difficult to access shops. The rooms are small. The rooms are badly decorated. The bathroom in the hotel was small. The bathroom in the hotel had a small bathtub. Small touches like a chocolate on the pillow are terrible. The hotel lacks a roof terrace. The roof terrace is not for drinks. The hotel has a pool available. Fortunately.,1.0
ref,dev,21,"This is a hotel. The hotel is located in an excellent place. It is perfect to walk to the entertainment district. It is perfect to walk to pubs and restaurants. Rooms on the higher floors are excellent. They can provide a great view. The room itself is of a lovely quality. The room had a full kitchen, which is incredibly useful. The hotel offers a complimentary breakfast. The breakfast was really good.","This is not a hotel. The hotel is located in a terrible place. It is not close enough to walk to the entertainment district. It is not close enough to walk to pubs and restaurants. Rooms on the higher floors are terrible. They provide a disagreeable view. The room itself is of an uncomely quality. The room lacked a full kitchen, which was incredibly incovenient. The hotel provides a paid breakfast. The breakfast was egregious.",1.0
ref,dev,22,"The hotel has a level of homely comfort. Sometimes, the hotel lacks small personal touches. The hotel is connected to a subway. The hotel sits above the Pacific Place shopping mall. It can take a while to travel to the business district. The rooms are really modern. The rooms are lacking in style. The rooms are lacking in space. The hotel has a cafe that provides lunch. The lunch was really expensive and equally as disappointing. You can get drinks from the bar that's in the foyer. The hotel had good facilities available. The facilities included a gym and a pool.",The hotel doest feel homely on any level. The hotel does not lack any personal touches. The hotel is not close to a subway. The hotel is not close to any shopping malls. It takes no time to travel to the business district. The rooms are outmoded. The rooms are stylish. The rooms are spacious. The hotel has a cafe that does not provide lunch. The lunch was really pocket-friendly and did not disappoint. There is no bar to get drinks from. The hotel has no facilities available at all. The facilities were devoid of both a gym and a pool.,1.0
ref,dev,23,"The hotel was clean. The hotel was reasonably priced. The hotel needs a makeover. The hotel would improve if some of the charges were lowered. This hotel is located in a really great area. It is a really handy walk to the shopping area and restaurants. There is a convention centre nearby. The rooms are spacious. The rooms are flawlessly clean. Everything you could possibly need is available in the rooms. The bed was unbelievably comfortable. The bed provided a great night's sleep. The hotel is a little bit outdated. The hotel is in need of a bit of an upgrade. The hotel had an expensive breakfast. Overall, the food is great. The pool at the hotel is open for a good amount of time for guests. There is parking available. The parking is a bit expensive. The hotel can help out with the parking.","The hotel was filthy. The hotel was very expensive. The hotel was very stylish. The hotel would not improve if some of the charges were lowered. The hotel is located in a very run-down area. It is a very long walk to the shopping area and restaurants. There is no convention centre nearby. The rooms are small. The rooms are superlatively filthy. Nothing you need is available in the rooms. The bed was unbelievably uncomfortable. The bed did not provide a great night's sleep. The hotel is very modern. The hotel is fully upgraded. The hotel has a breakfast that is light on your wallet. Overall, the food is bad. The pool at the hotel is barely open for guests. There is no place to park. The parking is cheap. The hotel does not provide any assistance with parking.",1.0
ref,dev,24,"This hotel is greatly loved. The hotel is well kept. The hotel is comfortable. Everything you could need in terms of shops and restaurants are really close to this hotel. This hotel is superbly located. There are plenty of attractions. The attractions include a theatre and cathedral. The theatre and cathedral are just around the corner. The view from the luxurious room was really nice. The view was overlooking the courtyard. The view was nice when it was sunny. Rooms can accommodate four people. The rooms are comfortable. The rooms are really clean. Additionally, the rooms can accommodate four people while still being comfortable and really clean. The doorman was always at the entrance of the hotel to greet guests. The great staff were very welcoming. There was a buffet for breakfast. The food provided was great-tasting. There is a great outdoor dining area. It was well-suited for eating lunch. Additionally, it is available. There were toiletries available at this hotel. The toiletries were great. The price was really reasonable. The hotel is comfortable and elegant.","The hotel is highly detested. The hotel is run-down. Comfort is the last thing you would associate with the hotel. In terms of shops and restaurants, nothing is close to the hotel. The hotel is terribly located. There are no attractions. The attractions do not include a theatre or a cathedral. The theatre and the cathedral are extremely far. The view from the luxurious room was surprisingly bad. The view did not overlook the courtyard. The view wasn't nice even when it was sunny. Rooms cannot accomodate four people. The rooms are uncomfortable. The rooms are really dirty. Additionally, the rooms cannot accommodate four people while being uncomfortable and really dirty. The doorman was never at the entrance of the hotel to greet guests. The staff were not welcoming. There was no buffet for breakfast. The food provided was bad-tasting. There is a mediocre outdoor dining area. It was not suited for eating lunch. Additionally, it is not available. There were no toiltries available at this hotel. The toiletries were abysmal. The price was unreasonable. The hotel is uncomfortable and inelegant.",0.9
ref,dev,25,"The hotel is great. The hotel provides a safe place to stay. It is a favourite. It is a favourite with guests. The hotel is close to the metro line. The hotel is close to Rembrandt Square. The hotel is away from the louder tourist areas. The room was quite small at this hotel. The room was quite modern and clean. Everything was wheelchair-accessible, which was fantastic. There was no shower curtain. The bathroom floor was somewhat wet. The staff was at the front desk. The staff was unhelpful to guests. The hotel provides a fantastic selection of food. The food is available in their seafood bistro. The WiFi is in the hotel lobby. The WiFi is very slow. The carpet was dirty. The exterior of the hotel is noisy and overcrowded.","The hotel sucks. The hotel did not provide a safe place to stay. Is is not a favorite. It is not a favorite with guests. The hotel is far away from the metro line. The hotel is far away from Rembrandt Square. The hotel is near louder tourist areas. The room was quite big at this hotel. The room was quite old and dirty. Nothing was wheelchair-accessible, which was disappointing. There was a shower curtain. The bathroom floor was dry. The staff was not at the front desk. The staff was helpful to the guests. The hotel provides a bad selection of food. The food is not available in their seafood bistro. There is no WiFi in the hotel lobby. The WiFi is very fast. The carpet was clean. The exterior of the hotel is quiet and not overcrowded.",1.0
ref,dev,26,This is a hotel. It is a great hotel. It is a little hotel. It isn't a full-on resort. It was nice all the same. There are many things to do. The things to do are within walking distance. The hotel rooms are smaller. The hotel rooms are clean. The hotel rooms are furnished well with antiques for some charm. The breakfast was at the hotel. The breakfast was adequate. The coffee was great. Some items were missing. There was a run-down feel here. The carpeting did not help. The atmosphere was worn-down. The elevators weren't that big. A surfboard could not even fit in it.,This is not a hotel. This is not a great hotel. It is a big hotel. It is a full-on resort. It was not nice all the same. There are few things to do. The things to do are not within walking distance. The hotel rooms are bigger. The hotel rooms are dirty. The hotel rooms are not furnished well with antiques for any charm. The breakfast was not at the hotel. The breakfast was inadequate. The coffee was bad. All items were present. There was a well-maintained feel here. The carperting helped. The atmosphere was pristine. The elevators were big. A surfboard could easily fit in it.,1.0
ref,dev,27,The hotel is tranquil. The hotel is clean. The hotel is an enjoyable place to stay whilst in Rome. The hotel is close to a number of local restaurants. The hotel is close to the busier areas of Rome. The rooms in the hotel are adequate. The bathrooms are spacious. The staff leave a chocolate on the beds. The chocolate is left each night. The chocolate is for their guests. The buffet breakfast was very good. The hotel's corridors were quite plain. The corridors could benefit from some decoration. The free Wi-Fi worked well. The Bulgari toiletries smelled lovely.,The hotel is bustling. The hotel is dirty. The hotel is a miserable place to stay whilst in Rome. The hotel is far from the local restaurants. The hotel is far from the busier areas of Rome. The rooms in the hotel are inadequate. The bathrooms are small. The staff do not leave a chocolate on the beds. The chocolate is not left each night. The chocolate is not for their guests. The buffet breakfast was very bad. The hotel's corridors were quite fancy. The corridors can not benefit from any decoration. The free Wi-Fi did not work well. The Bulgari toiletries smelled horrible.,1.0
ref,dev,28,The hotel provided a great stay. The hotel is really recommended. The hotel is located close to Giotto's Campanile. The rooms in this hotel are really great. The rooms in this hotel are quite spacious. There was outside noise. The noise came from the bells in the morning. It was difficult to navigate the hotel. The difficulty was due to the floor layout.,The hotel provided a terrible stay. The hotel is not really recommended. The hotel is not located close to Giotto's Campanile. The rooms in this hotel are really bad. The rooms in this hotel are quite cramped. There was no outside noise. The noise did not come from the bells in the morning. It was easy to navigate the hotel. The easieness was due to the floor layout.,1.0
ref,dev,29,This is a great place for a short stay. It will likely make you want to come back again. The hotel isn't centrally located. The area is quite safe. The location is pretty good. The rooms are in the hotel. The rooms are modern. Some of the hotel's staff seemed disinterested. There was an incident at the hotel. The staff did not help with the incident. You can get a complimentary coffee from the barista. It is worth mentioning. There is a coffee machine supplied here. The coffee machine is fine. The parking is available at the hotel. The cost of parking is 12 a night.,This is an awful place for a short stay. It will likely make you not want to come back again. The hotel is centrally located. The area is quite dangerous. The location is pretty terrible. The rooms are not in the hotel. The rooms are ancient. All of the hotel's staff seemed motivated. There was no incidents at the hotel. The staff helped with the incident. You cannot get a complimentary coffee from the barista. It is not worth mentioning. There is no coffee machine supplied here. The coffee machine is not fine. The parking is not available at the hotel. The cost of parking is not 12 a night.,1.0
