summ_type,split,example_id,summ_a,summ_b,nli_contrast_neut_score
ref,train,10,"The hotel is nicely situated in a tranquil canal street. There are many fascinating attractions within easy strolling distance, such as Dam Square and Anne Frank's Abode. The chamber is quite diminutive. The vista of the waterway was delightful. You should attempt to solicit a spacious dormitory. The diminutive chamber did possess a sufficient lavatory. The personnel at the welcome desk were surly. The personnel at the morning meal region were not particularly advantageous. The cost of breakfast was acceptable. The amount of food in breakfast was scarce. The food tasted peculiar. The shower was scalding. The shower was dangerously hot.",The hotel is proximate to the Metro and railway stations. The hotel has a splendid view from the balcony. The hotel is proximate to Central Station. There were problems with the chamber not being tidied. The lodging is chic. The lodging confers magnificent vistas. The bed is exceedingly cozy. The chamber even has Apple TV in it. The personnel at the hotel were very courteous. The personnel were regretful for any issues. No remuneration was given. The breakfast furnished by the hotel was really praiseworthy. Sometimes it took a bit more than anticipated. The sky parlor of the inn is suggested. The sky parlor of the inn can be costly. The hotel provided towels. The towels arrived later than requested.,0.26666666666666666
ref,train,11,Highly commended to all. This hotel is immaculately preserved. The hotel has excellent amenities. The hotel has an upper-crust yet comfortable atmosphere. The hotel has a delightful patio and pool. This hotel resides in an optimal place. The hotel is within walking range of all the main monuments. The rooms are spotless. The bed is exceedingly comfortable. The sole problem was the shower in the lavatory. The shower would spout outside the cubicle. The service was exemplary on the whole. The personnel here at this hotel are both obliging. The personnel here at this hotel are proficient. There were some minor initial difficulties. The housekeeping personnel do not operate after midnight. The hotel presented delectable chocolates and biscuits in the foyer. The hotel provided gratis breakfast. There is a lovely swimming locale. The swimming locale is lovely. The attendant parking should be supplied.,The overall atmosphere of this place is quite superb. The overall atmosphere of this place is legitimate to the town. It's a tidy spot. It puts in a tremendous effort. Some of the chambers in the inn do not have portals. Fixtures are in a poor condition. The chambers need to be scoured. The scouring of the chambers could be improved. The management of the hotel appeared apathetic. The valet personnel were competent and amiable. The desk personnel were competent and amiable. The valet and desk personnel were occupied. The hotel only dispenses coffee. The hotel only dispenses pastries. The breakfast spread is limited to coffee and pastries. The hotel was economical. The hotel had complimentary parking included. There were not enough grounds to select it.,0.07692307692307693
ref,train,12,It is a European hotel. It is winsome. The hotel is located on the River Arno. It is a peaceful spot. The hotel rooms were handsomely adorned. The hotel rooms were equipped with completely operational air conditioning. It was a room. The room had a vista. The vista was indubitable. The personnel at this hotel are excellent. The supervisor is versed for local jaunts. They all strive tirelessly. They strive to satisfy and fulfill your requirements. You can access the net via a PC in the hotel foyer. This is a complimentary choice. There is a fantastic hotel terrace. It was delightful to take a seat on the terrace. It was delightful to observe the world pass by from the terrace.,"This hotel is quite antiquated. The images on their website are different from the reality. Generally, it's a hotel. It's an acceptable hotel. The hotel is in a favorable position. It is close to the railroad station. It is close to the principal sights in Florence on foot. There are neighboring buses. The buses go to Fiosole. The buses go to the plaza Michelangelo. The buses go to the bargain mall. The rooms are quite diminutive. The rooms are quite precarious. Some rooms are facing out onto a building site. The personnel at the hotel had an unbecoming attitude. The unbecoming attitude was towards clients. The hotel was quite cacophonous.",0.2
ref,train,13,The hotel is perfect for a rowdy and youthful group. The hotel is perfect for a female's excursion. The hotel is adjacent to bus routes into the metropolis. The hotel is a good switch of venue to remain from the city centre alternatives. The hotel is situated in the heart of Lincoln Park. There are eateries nearby. There is a lively nightlife nearby. The hotel itself is situated on Clark Street. Clark Street is a customers' paradise. The hotel has twin beds in the individual rooms. This is ideal for one or two individuals. The rooms are pristine. The drain in the shower needs some consideration. The hotel offered a decent breakfast to visitors. The hotel has sound protection. Your access card is essential to enter elevators or staircases. There is complimentary WiFi provided. There was some roadway clamor. The roadway clamor was not noisy enough to evoke worry. It is worth noting that it is hard to park. The attendant is out front of the hotel.,This is an enchanting hotel. The hotel furnishes a really pleasant place to reside. It's economical. It will keep you longing to return often. This hotel is situated in a tranquil region. The region is not too distant from grand views to behold. The room in this hotel was up-to-date. The room in this hotel was embellished. The room in this hotel was cozy. The room in this hotel was roomy. The lavatories are splendid. The lavatories are exceptionally outfitted. The hotel had a limited range of cuisine. There was a selection to choose from. There are outstanding characteristics to this hotel. The hotel has flat-screen TVs. The hotel has truly delightful down-plume duvets.,0.5526315789473685
ref,train,14,The hotel is gorgeous. The hotel is pricey. There are usually a lot of visitors at the hotel. The hotel is in demand. The chambers in the hotel are cosy. The chambers come fitted with a DVD player. The service was superb. The personnel were continuously amiable. The hotel did not furnish much range of food. The hotel did not furnish anything that was really new. The hotel has signature peanut husks on the floor. The peanut husks on the floor are a treacherous danger. The lavatories are round the bend. The lavatories are beneath Singapore criteria.,This was a superb stay. It is suggested for both enterprise and/or delight. The hotel is situated near to the Orchard Road shopping district. The hotel furnishes a complimentary shuttle service. The rooms here are totally remarkable. The rooms here are tidied to such an exemplary peak. The rooms are really roomy. The rooms are cozy. The rooms are dazzlingly sumptuous. All staffers were excellent. They couldn't be improved upon. Everyone had superb attention to detail. The attention to detail extended even to the taxi-summoner. The breakfast alternatives here are splendid. The breakfast arrives in a smorgasbord-style array. The breakfast was all delightful. The afternoon tea was really pleasant. The appetizers were really pleasant and liked. The hotel has a fitness center. The hotel has a plunge pool. The hotel offers gratis Wi-Fi access. There is frigid water around the pool. There are chilled face towels around the pool.,0.10810810810810811
ref,train,15,"This hotel provides opulence. This hotel provides a peculiar hazardous sensation. The position was satisfactory. (This sentence is already simple and does not need to be split further.) It is on the periphery of city centre. It is near to all that you require. It is paces from Eaton Centre. It is paces from Yonge Street. It is near superlative shopping strips. The precincts encompassing it aren't perfect. However, there is some issue with the precincts. The hotel personnel furnished regional suggestions. The suggestions were excellent. There were numerous suggestions. The hotel personnel graciously provided the suggestions. The nourishment here is satisfactory. There are tepid and icy possibilities for brunch spread. It is worth examining eateries down the street. This hotel furnishes numerous incredible supplements. There is a pleasant swimming pool with hot tubs and changing room amenities. There is an exquisite rooftop area with ample seating. There is costless internet access. The only drawback is the costly subterranean parking.","The hotel is really magnificent. The hotel gave a very regal atmosphere. The hotel honors you like nobility as well. The chamber was moderately diminutive. The chamber was somewhat unclean in spots. The chamber featured vast roomy beds. The chamber featured a superior flat-screen TV. Overall, it's a great hotel. The big shortfall is that you have to pay quite a bit of money for internet access. This is regrettably characteristic. Most costly inns have this characteristic.",0.20588235294117646
ref,train,16,The hotel was alluring. The hotel was spotless. The hotel is located adjacent to the railway station. The hotel is located beside the fire brigade. The hotel's location can render it raucous. There are loads of pubs. The pubs are close by. The hotel rooms are spick-and-span and cozy. The hotel rooms may be in need of a minor upgrade and revamping. The room had impaired access. The tub had impaired access. The impaired access was adequate. The hotel offers a complimentary breakfast spread in the a.m. The hotel offers complimentary hot drinks throughout the day. Families lodging at the hotel love the complimentary breakfast and hot drinks. The hotel is proximate to Rock Bottom Brewery. Rock Bottom Brewery serves really delicious food. The hotel can offer premature check-in. Lingering later was avoided. It was a kind consideration.,This hotel is remarkable. It could not be superior. It is certainly suggested. It is especially suggested to other voyagers journeying to Chicago. The position of this hotel is incomparable. It is closely proximate to the river. There is an undemanding hike to savor downtown. This hotel is conveniently-located. The undemanding hike is a tremendous perk of staying at this hotel. The rooms were roomy. The rooms were quite filthy. The rooms were scorching. The beds were satisfactory. The bathrooms were fabulous. Some of the custodial personnel neglected an expanse. The expanse ought to have been tidied. It was highly costly. It was merely for a canned carbonated beverage. The beverage was from the minifridge in this lodging. The cost was inexplicable. The sole accessible parking at the hotel is valet. Valet parking can be expensive. The employment of internet is expensive.,0.16279069767441862
ref,train,17,"The hotel has all the contemporary amenities. The hotel is arranged in a traditional manner. It's exceptionally effortless to reach the city centre from this hotel. This hotel is an admirable hotel for placement. Some quarters at this hotel are very sophisticated and hushed. The beds in these quarters are cozy. There is even a hearth in these quarters. The shower was exemplary. The walls are very flimsy. The hotel furnishes transportation. The hotel provided some excellent fare. Every dish tasted delicious. The faucets on the basins were fairly stiff. Due to its elderly construction, there seemed to be no insulation. Regrettably, these issues were present.","This is a marvelous and lovely place to dwell for commerce. This is a marvelous and lovely place to dwell for enjoyment. All episodes here have consistently been splendid. All episodes here have consistently been handy. The hotel is proximate to the theatre locality. There are eateries neighboring the hotel. It is located near Macy's, TJ Maxx and other retail outlets. It is located near the metro for convenient transportation. The rooms in this hotel are really pleasant. The rooms in this hotel have no equal in terms of recommendation. The hotel only had one eatery. The hotel only had a diminutive bar. The alternatives were confined. There is a complimentary breakfast offered. The complimentary breakfast is not openly proclaimed. There is a fee to utilize the WiFi at the hotel. The physical wellness hub was not first-rate.",0.21875
ref,train,18,This is an extremely good hotel. This hotel is somewhat expensive. It could be greatly disquieting. The beeps from the road cause disturbance. Staying at the facade of the hotel could cause disturbance. The position of this hotel is completely incredible and central. You can saunter to numerous stores. You can saunter to Gaudi's Casa Batllo. You can saunter to la Pedrera. The metro stop is really proximate. A conventional room at this hotel is diminutive than anticipated. Most of the area is occupied by the massive but very cozy bed interior. The bathrooms were antiquated. The bathrooms require some refurbishment. The room service was exorbitant. The hotel's breakfast is not worth the price. The elevators were somewhat troublesome. The elevators required extended periods of waiting. There were only two elevators. The elevators were sparse. The chambers overlook the rear courtyard. The chambers at the front are not as calm as those at the rear.,"It's perfectly situated for shopping and feasting. There is a shoreline and metro station nearby. It's quite distant from the genuine local personality. The room was capacious. The room did not match the depiction online. The room was scrubbed. There was a persisting smell. There were substance implements left there. The hotel staff were courteous. The hotel staff were amenable. One of the bellhops demonstrated how to operate all of the modern conveniences of the room. The demonstration was successful in showing us how to operate the conveniences of the room. The breakfast was satisfactory enough. The coffee from a vending machine was quite unpalatable. There is unencumbered WiFi here at the hotel. There is a superb gym. The pool seems somewhat distinctive compared to the photographs shown on the internet. The pool was diminutive. The pool was consequently packed. Overall, it is worth the fee paid.",0.047619047619047616
ref,train,19,The hotel had a health suite. The hotel had reservoirs. It made the sojourn restful. The hotel was spic and span. There were sculptures constructed of ice to behold. The hotel is excellently situated. The hotel is situated to investigate local eateries and taverns in the region. The room was spacious. The room had a flat-panel high-definition television. The hotel accommodations were perpetually spic-and-span. Toiletries were always supplied upon request. The cost of the food is quite repellent. They could enhance what they offer. Despite being costly. There were really splendid courts. There was diverse fauna to observe.,There were no problems at this hotel. I would advocate it to anyone. The hotel is situated in an excellent position. It is merely 10 minutes from Disney. It is 20 minutes from Universal Studios and Seaworld. The hotel is near to a variety of eateries. The chambers of the hotel are cozy and reasonable. The chambers of the hotel are not expansive enough for more than two persons. The air conditioning functions efficiently. The chambers can be untidy. The drink bar at the hotel is truly reasonable. The drink bar provides an excellent Long Island iced tea. There is a lot of exaggeration between the website and real life. The fee in person turned out to be pricier than reserving online. The barbecue area was genuinely not satisfactory. The pool area was genuinely not satisfactory.,0.1875
ref,dev,20,"The hotel has conference rooms available for lease. The conference rooms are for conferences and business gatherings. The position of this hotel is convenient. It is convenient to access eateries. It is convenient to access the stream. It is convenient to access stores. The chambers are a decent magnitude. The chambers are tastefully adorned. The bathroom in the hotel was spacious. The bathroom in the hotel had a huge bathtub. Small additions like a candy on the cushion are pleasing. The hotel has a top-level terrace. The terrace is for beverages. Unfortunately, the hotel lacks the amenity of a swimming pool.",The hotel is remarkable during a winter stay. The hotel is especially remarkable during a winter stay. The room was satisfactory. The room was on the diminutive side. The lavatory was on the diminutive side too. The speaker upgraded to a deluxe suite. The deluxe suite was absolutely satisfactory. The deluxe suite had a magnificent vista. The deluxe suite had contemporary styling. The morning meal is quite costly but really superb and delicious. The suppers are quite costly but really superb and delicious. There is a coffee machine. There is java. They are not without cost. The cost is unprecedented. The toiletries were really excellent. There was a problem with the lavatory.,0.3548387096774194
ref,dev,21,This is a hostel. The hostel is situated in a prime location. It is ideal to stroll to the amusement area. It is ideal to stroll to taverns and eateries. Rooms on the upper storeys are superb. They can afford an exquisite outlook. The chamber itself is of a delightful caliber. It had a complete kitchen. The complete kitchen is supremely practical. The hotel offers a gratis breakfast. The gratis breakfast was really excellent.,This hotel is terrific and remarkably stunning. You would certainly wish to come back. The hotel is situated near the CN Tower. The hotel is situated near the Hockey Hall of Fame. The hotel is situated near the Rogers Arena. The room was opulent. The room was quite meager. The room didn't have an outlook in any way. The room was quite tidy. There was a lot of tumult. The tumult could be heard from the chamber. The hotel's breakfast is incorporated in the room's cost. The breakfast is somewhat pricey.,0.08333333333333333
ref,dev,22,The hotel has a degree of cozy ease. Sometimes it misses minute individual jolts. The hotel is integrated to a metro. The hotel stands over the Pacific Place shopping center. It can take some time to voyage to the company quarter. The rooms are up-to-date. The rooms are bereft of flair. The rooms are bereft of area. The hotel has a café that furnishes lunch. The lunch at the café was really costly. The lunch at the café was equally as disheartening. You can acquire beverages from the tavern that's in the lobby. The hotel had excellent amenities accessible. The amenities include a fitness center. The amenities include a plunge.,This hotel is connected to the airport. This is a very tranquil hotel. The hotel was actually accorded for being the top airport hotel. It is a wonderful hotel overall. You will likely desire to come back to it. This hotel is optimally situated for those who are flying. It is near the airport. It makes it excellent for morning flight visitors. The chambers in the hotel are vast and roomy. Some of the electrical gadgets in the space were not operational. The breakfast was fantastic. It was a spread breakfast. The baggage was treated properly. The check-in experience was exceedingly expeditious.,0.13793103448275862
ref,dev,23,"The hotel was immaculate. The hotel was fairly priced. The hotel does need a renovation. The hotel would advance if some of the costs were reduced. This hotel is situated in an excellent locale. It is a very convenient stroll to the shopping district and eateries. There is a conference centre nearby. The rooms are capacious. The rooms are perfectly unsoiled. Everything accessible that you could possibly require is available in the rooms. The bed was unbelievably cozy. The bed gave a fabulous night's slumber. The hotel is somewhat antiquated. The hotel has a requirement for a bit of an improvement. The hotel had a pricey breakfast. All in all, the food is excellent. The pool is available at the inn. The pool is available for a substantial period of time. The pool is available for visitors. There is car parking accessible. The car parking is a bit costly. The hotel can assist with the car parking.",You will desire to return frequently to this inn. This inn surpasses all other inns in the town. The personnel have a competent demeanor. It's a fresh venue. Some of the employees require a bit more duration to evolve. We were granted a round of beverages. The round of beverages was gratuitous. The personnel granted us the round of beverages. The round of beverages was granted due to something. The hotel provides a satisfactory breakfast. The hotel also provides an afternoon appetizer buffet. The staff gave a gratuitous round of drinks. The round of drinks was given in expiation. The hotel was a very reasonable cost. The hotel surpassed anticipations delineated by the website.,0.4594594594594595
ref,dev,24,"This hotel is greatly cherished. The hotel is well maintained. The hotel is cozy. Everything you could require in terms of stores and eateries are truly proximal to this hotel. This hotel is excellently situated. Moreover, there are lots of sights close by. There is a theater close by. There is a temple close by. The vista from the opulent room was truly pleasant. The opulent room overlooked the courtyard. It was sunny when gazing at the courtyard. Rooms can accommodate four individuals. The rooms are cozy and spotless. Additionally, the rooms can accommodate four individuals while still being cozy and spotless. The porter was constantly at the doorstep of the hotel to salute visitors. The personnel were very hospitable and marvelous. There was a smorgasbord for breakfast. The smorgasbord supplied delicious fare. Additionally, there is a fine exterior dining region. The exterior dining region was appropriate for consuming lunch. There were toiletries obtainable at this hotel. The toiletries were truly superb. The cost was really modest. The hotel is comfy and sophisticated.",The hotel is first-rate. The hotel furnishes a pleasant and agreeable stay. The stay won't strain the wallet. The tub in the chamber took an excessive amount of time to release. There is solely the amenity for one machine to be allotted to the web per room. The hotel's breakfast choice was really excellent. The array offered at the tavern was really excellent. Rooms on the managerial level are supplied with a free breakfast. Rooms on the managerial level are supplied with hors d'oeuvres and treats for a modest charge.,0.06060606060606061
ref,dev,25,The hotel is splendid. The hotel furnishes a secure place to reside. It is a favorite. It is a favorite with visitors. The hotel is adjacent to the subway line. The hotel is adjacent to Rembrandt Square. The hotel is estranged from the noisier sightseeing spots. The room was diminutive at this hotel. The room was up to date and unsoiled. Everything was wheelchair-friendly which was great. There was no shower drape. The lavatory floor was rather damp. The personnel were at the reception desk. The personnel were uncooperative to visitors. The hotel furnishes a marvelous collection of food. The food is served in their fish eatery. The WiFi is in the hotel foyer. The WiFi is very sluggish. The carpet was filthy. The outside of the hotel is clamorous and thronged.,The sojourn at the hotel was quite costly. The sojourn at the hotel was absolutely worth the expense. No grievances. The sight from the accommodation was excellent. The accommodation overlooked the waterway. The wireless internet in the room was gratuitous. It is really convenient. The chambers are opulent. The chambers are embellished to a delightful level. The opulence and embellishment of the chambers are superior. All of the personnel were affable. They were amiable. They were competent simultaneously. They were evidently very erudite. Being erudite was simply marvelous. The hotel offered gratuitous internet facilities. The hotel offered the usage of a printer if called for.,0.08108108108108109
ref,dev,26,This is a hotel. The hotel is diminutive. The hotel is magnificent. The hotel is truly magnificent. It isn't an extravagant resort. It was pleasant nevertheless. There are plenty of activities. The activities are within strolling reach. The hotel chambers are diminutive. The hotel chambers are spotless. The hotel chambers are outfitted nicely with relics for some enchantment. The breakfast was at the hotel. The breakfast was sufficient. The coffee was superb. Some things were absent. There was a dilapidated atmosphere here. The floor covering did not improve the atmosphere. The atmosphere was depleted. The lifts weren't that grand. A surfboard couldn't even be accommodated in it.,The stay at this hotel was splendid. I will keep returning to this hotel. It can get immensely hectic here. You wouldn't be aware of it. The chambers in the hotel were sumptuous. The walls were very feeble. The hotel has great access to numerous local eateries. There is a broad assortment of local eateries accessible. There were some terrific elements to this hotel. The awesome-pool is one of those elements. It is suggested you go down for a chaise longue quite early. This isn't a huge concern.,0.125
ref,dev,27,The hotel is serene. The hotel is spotless. The hotel is generally a pleasant place to reside while in Rome. The hotel is proximate to a plethora of neighborhood eateries. The hotel is proximate to the livelier regions of Rome. The rooms in the hotel are sufficient. The bathrooms are roomy. The personnel deposit a candy on the mattresses. The candy is deposited each evening. The candy is for their patrons. The breakfast was a spread. The breakfast was excellent. The hotel's halls were quite unadorned. The halls could benefit from some embellishment. The complimentary Wi-Fi operated optimally. The Bulgari toiletries smelled delightful.,The cordiality at this hotel was delightful. The cordiality made the stay really great. There's nothing whatsoever to gripe about. I cannot extol this place enough. Everything is proximate to this hotel. The hotel's situation is flawless. Historical monuments aren't too distant on foot. Eateries and beverages are only 50 metres away. The river is around too. The spaces are abundant with atmosphere. The spaces are truly delightful with traditional adornment and fashion. The bed was ample. That is a boon. Many of the personnel were able to furnish comprehensive knowledge about the city. Many of the personnel were able to furnish proposals for what to do and where. The hotel supplied a morning meal to visitors. The morning meal was satisfactory. There was excellent coffee obtainable. The upper-level roof garden is truly stunning. The roof garden matches up to the pictures displayed on the website.,0.1111111111111111
