summ_type,split,example_id,summ_a,summ_b,bs_score
ref,train,10,"The hotel is nicely located in a quiet canal street with being only walkable distance to many interesting places like Dam Square and Anne Franks House. While the room is quite small, the view of the canal was wonderful. You should try to request a large rom, although the small room did have a big enough bathroom. The staff at the reception and breakfast area were rude and not very helpful. Although with a reasonable price, the breakfast has very limited quantity and the food tasted funny. The shower was scallding dangerously.","

The hotel has a great spot on a tranquil canal street, and is within walking distance of many interesting sites, such as Dam Square and Anne Frank's House. Although the space was rather cramped, the outlook of the canal was stunning. You should consider asking for a bigger room, even though the smaller one had a sizable bathroom. The employees at the front desk and morning meal area were impolite and not very accommodating. Despite being priced reasonably, the breakfast had a small amount of food and the flavor was off. The shower was dangerously hot.",0.69118226
ref,train,11,"Really recommended to anyone. This well-maintained hotel has good facilities, upscale but cozy vibe, and lovely courtyard and pool. This hotel sits in a perfect location and in walking distance to all the key landmarks. The rooms are clean and the bed is super comfortable. The only issue was the shower in the bathroom, which would spray outside the stall. The service was outstanding in general; the staff here at this hotel are both helpful as well as professional. But there were some small teething problems , for example the housekeeping staff don't work after midnight. The hotel offered really chocolates and gingersnaps in the lobby and free breakfast. Lovely pool area. The valet parking should be provided.","

It is highly suggested that everyone should try this. This hotel has been kept in excellent condition, offering a luxurious yet comfortable atmosphere, as well as a beautiful courtyard and swimming pool. This hotel is situated in an ideal spot and is within walking distance to all the important attractions. The chambers are spotless and the mattress is extremely comfortable. The only problem was the shower in the bathroom, which would cause water to go outside the shower area. The service provided here at this hotel was remarkable; the staff are both friendly and competent. However, there were some minor issues to work out, such as the housekeeping staff not working past midnight. The hotel provided guests with complimentary chocolates and gingersnaps in the lobby and a complimentary breakfast. The pool area was delightful. Valet service should be offered.",0.73683214
ref,train,12,"It is a charming European hotel. The hotel is situated on the River Arno and is a quiet locale. The hotel rooms were well decorated and with fully functioning air conditioning. It was definitely a room with a view. The staff here at this hotel are really great and the manager was also really knowledgeable for local outings. They all work hard to please and meet your needs. You can access the internet via a computer in the hotel lobby and this is a free option. There is also a great hotel balcony, which was lovely to sit on and watch the world go by.","

This European hotel has a lot of charm. The hotel is located by the River Arno and is a peaceful spot. The hotel rooms had a nice decor and the air conditioning was in good working order. It had an impressive outlook. The personnel at this hotel are fantastic and the manager was extremely well-informed about nearby activities. They all strive to satisfy and accommodate your requirements. You can utilize the internet for free by using a computer located in the hotel lobby. It was a pleasure to take a seat on the wonderful hotel balcony and observe the hustle and bustle of the world.",0.7144339
ref,train,13,"The hotel is ideal for a boisterous and young crowd, such as a girl's trip. The hotel is close to bus routes into the city and is a good change of place to stay from the downtown alternatives. The hotel is located in the centre of Lincoln Park with restaurants and a good night life. The hotel itself is located on Clark Street which is a shoppers' delight. The hotel has double beds in the single rooms which is great for one or two people. The rooms are very clean although the drain in the shower needs some attention.The hotel provided a good breakfast to guests. The hotel has good security, as your key card is needed to gain access to elevators or stairwells. There is free WiFi provided too. There was some street noise but not loud enough to cause concern. It is worth mentioning that it is difficult to park for the valet out front of the hotel.","

This hotel is perfect for a lively and youthful group, like a ladies' getaway. The hotel is conveniently located near bus routes into the city, making it a great alternative to the downtown lodging options. The hotel is situated right in the heart of Lincoln Park, with plenty of restaurants and an exciting night life. The hotel is situated on Clark Street, which is a great place for shopping. The single rooms in the hotel feature double beds, making them an ideal choice for one or two people. The rooms were spotless, however the shower drain requires some work. The hotel offered a delicious breakfast to its patrons. The hotel has strong safety measures in place, requiring your key card to use the elevators or stairwells. WiFi is available at no cost. The sound of the street could be heard but it was not loud enough to be a problem. It is worth noting that there is a challenge in finding a spot for the valet to park at the front of the hotel.",0.73795176
ref,train,14,The hotel is beautiful but expensive. There are normally a lot of guests at the hotel as it is popular. The rooms in the hotel are comfortable and come equipped with a DVD player. The service was truly exceptional from the staff who were all always pleasant. The hotel did not provide much selection of food or anything that was really fresh. The hotel has signature peanut shells on the floor which are a slipping hazard. The toilets around the corner are below Singapore standards.,"

The hotel is attractive but costly. The hotel is usually well-attended due to its popularity. The lodgings in the hotel are cozy and come with a DVD player. The staff provided an outstanding level of service and were consistently friendly. The hotel had limited options for food and nothing that was particularly fresh. The hotel has distinctive peanut shells scattered across the floor, which can create a slipping hazard. The lavatories located near the corner do not meet Singapore's requirements.",0.7477493
ref,train,15,"This hotel gives a mix of luxury and odd unsafe feeling. The location was fine. It is on the outskirts of downtown and close to everything you need: it is steps away from Eaton Centre, Yonge Street, and great shopping areas. However, the blocks surrounding it aren't ideal. The hotel staff pleasantly provided lots of great local recommendations. The food here is okay including the hot and cold options for breakfast buffet. It is worth checking restaurants across the road as well. This hotel provides so many amazing additions, such as a nice swimming pool with hot tubs and locker room facilities, a beautiful roof top space with plenty of seating, and complementary internet access. The only downside is the expensive underground parking.","

This hotel provides an atmosphere that is both luxurious and somewhat disconcerting. The place was satisfactory. It is situated just outside of the city center, with easy access to the Eaton Centre, Yonge Street, and a variety of shopping options. Nevertheless, the area around it is not ideal. The hotel personnel kindly gave a lot of terrific suggestions about the area. The food here is satisfactory, including the hot and cold choices available at the breakfast buffet. It may be beneficial to examine eateries on the other side of the street too. This hotel offers a great range of amenities, such as a swimming pool with hot tubs and changing rooms, a stunning rooftop terrace with plenty of seating, and free Wi-Fi. The only drawback is the costly subterranean parking.",0.71334857
ref,train,16,"The hotel was attractive and clean. The hotel is situated next to the train station but also next to the fire department which can make it noisy. There are lots of bars nearby. The hotel rooms are clean and comfortable, although perhaps in need of a slight touch up and redecoration. The room had good disabled access, including the bath. The hotel provides a free breakfast buffet in the morning, as well as free hot drinks all day, which is popular with families staying. The hotel is also close to Rock Bottom Brewery, which serves really good food. The hotel can provide early check-in instead of waiting later, which was a nice gesture.","

The hotel was visually pleasing and well-maintained. The hotel is located close to the train station and the fire department, which can cause a lot of noise. There are numerous drinking establishments close by. The hotel rooms are spotless and cozy, although they could use a bit of updating and refurbishing. The space had excellent accommodations for those with disabilities, including the bathroom. The hotel offers a complimentary breakfast spread in the morning, as well as complimentary hot beverages throughout the day, which is a hit with families who are staying there. The hotel is also nearby Rock Bottom Brewery, which offers delicious cuisine. The hotel was kind enough to offer an early check-in instead of making us wait until a later time.",0.75395876
ref,train,17,"The hotel has all the modern conveniences but is set out in a classical style. It's super easy to access the city centre from this hotel, making it a great hotel for location. At this hotel some rooms are very elegant and quiet with comfortable beds and even a fireplace. The shower was great, too, but the walls are really thin. The hotel even provides car service. The hotel provided some great food and every dish tasted great. Unfortunately the taps on the sinks were pretty tight and because it is an older building there seemed to be no soundproofing.","

The hotel is decorated in a traditional manner but offers all the contemporary amenities. This hotel is in an ideal spot, as it is very simple to get to the city centre, making it a great choice for its location. This hotel offers some of the most luxurious and tranquil rooms, featuring comfortable beds and even a fireplace. The shower was really enjoyable, however, the walls are quite thin. The hotel even offers a car service. The hotel's cuisine was excellent and each item was delicious. Unfortunately, the faucets on the sinks were quite difficult to turn and, due to the age of the building, there appeared to be no insulation to block out sound.",0.68873
ref,train,18,"This is overall a really great hotel but a bit pricey. It could be quite disturbing if you stay on the front of the hotel due to the horns from the street. The location of this hotel is absolutely great and central, you can walk to many shops, Gaudi 's Casa Batllo , and la Pedrera. The metro station is also really close. A standard room at this hotel is smaller than expected, with most of the space being taken by the huge but very comfortable bed inside. The bathrooms was outdated and need some updating. The room service was overpriced. Unfortunately the hotel's breakfast definitely not worth the money. The lifts were a bit inconvenient and request long time wait because there are only two of small and infrequent ones. Also, the rooms facing courtyard at the back are quieter than the ones to the front.","

This hotel is really good, but it does come at a cost. It could be quite unsettling if you remain at the front of the hotel due to the horns blaring from the street. This hotel is in a wonderful spot, right at the heart of the city. It's within walking distance of plenty of shops, Gaudi's Casa Batllo, and La Pedrera. The subway stop is also very nearby. The bed inside a standard room at this hotel is quite large and comfortable, yet the room is smaller than anticipated due to the size of the bed taking up most of the space. The bathrooms were outdated and required some renovations. The cost of the room service was too high. Sadly, the hotel's breakfast was not worth the cost. The elevators were somewhat inconvenient and required a long wait due to the fact that there were only two of them and they were small and infrequent. Rooms located at the rear of the courtyard are more tranquil than those located at the front.",0.70254606
ref,train,19,The hotel had a spa and pools that made it a relaxing time during the stay. The hotel was clean and there were also figures made of ice to see. The hotel is ideally located to explore local restaurants and bars in the area. The room was large and featured a flat-screen high-definition television. The hotel room was always very clean and toiletries were always provided upon asking. The price of the food is quite off-putting and they could improve what they offer. Despite being fairly pricey there were really stunning atria with various wildlife to see.,"

The hotel provided an atmosphere of relaxation with its spa and pools, making it a pleasant stay. The hotel was spotless and there were also sculptures made of ice to admire. The hotel is in an ideal spot to check out the nearby eateries and pubs. The room was spacious and had a flat-screen HDTV. The accommodation was always spotless and toiletries could be requested at any time. The cost of the food is quite unappealing and they could enhance the selection they provide. Despite their cost, the atria were quite beautiful and had a variety of wildlife to observe.",0.7420274
ref,dev,20,"The hotel has conference rooms available to rent out for conferences and corporate events. The location of this hotel makes it easy to access restaurants, the river and shops. The rooms are a good size and well decorated. The bathroom in the hotel was large and with a large bathtub. Small touches like a chocolate on the pillow are also nice. The hotel has a roof terrace for drinks. Unfortunately the hotel is missing the availability of a pool.","

The hotel offers conference spaces that can be rented for conferences and corporate gatherings. This hotel is conveniently situated close to restaurants, the river and shops. The rooms have a pleasant amount of space and are attractively arranged. The bathroom in the hotel was spacious and featured a sizable bathtub. Adding a small treat such as a chocolate on the pillow is a nice gesture. The hotel has a rooftop bar for beverages. Sadly, the hotel does not have a pool.",0.7843774
ref,dev,21,"This is a hotel located in an excellent place. It is perfect to walk to the entertainment district as well as pubs and restaurants. Rooms on the higher floors are excellent as they can provide a great view. The room itself is of a lovely quality and even had a full kitchen, which is incredibly useful. The hotel's complimentary breakfast was really good.","

This hotel is situated in a prime location. It is ideal to take a stroll to the area of entertainment, as well as bars and eateries. Rooms located on upper levels are ideal as they offer a spectacular view. The room was of excellent quality and even had a full kitchen, a great benefit. The hotel's free breakfast was incredibly tasty.",0.8314222
ref,dev,22,"The hotel has a level of homely comfort, but sometimes lack small personal touches, The hotel is connected to a subway and sits above the Pacific Place shopping mall., however it can take a while to travel to the business district. The rooms are really modern but unfortunately lacking in style and space. The hotel has a cafe that provides lunch but it was really expensive and equally as disappointing, however you can get drinks from the bar that's in the foyer. The hotel had good facilities available, such as a gym and a pool.","

The hotel provides a cozy atmosphere, yet may be missing small, intimate details. It is accessible by subway and is located above the Pacific Place shopping mall; however, it may take some time to get to the business district. The rooms have a contemporary look, however, they are not very aesthetically pleasing and are quite cramped. The hotel has a cafe that offers lunch, however, it was both pricey and unsatisfying. On the other hand, you can purchase drinks from the bar located in the lobby. The hotel had a range of amenities, including a gym and a swimming pool.",0.67835605
ref,dev,23,"The hotel was clean and reasonably priced. The hotel does need a makeover and would improve if some of the charges were lowered. This hotel is located in a really great area with a really handy walk to the shopping area and restaurants, as well as a convention centre nearby. The rooms are spacious and flawlessly clean with everything available that you could possibly need. The bed was unbelievably comfortable and provide a great night's sleep. The hotel is a little bit outdated and in need of a bit of an upgrade though. The hotel had an expensive breakfast however overall the food is great. The pool at the hotel is open for a good amount of time for guests. There is also parking available which is a bit expensive, but the hotel can help out with it.","

The hotel was tidy and reasonably priced. The hotel could benefit from a revamp and would be more attractive if the prices were reduced. This hotel is situated in a superb location with a convenient stroll to the shopping district and eateries, as well as a convention centre in close proximity. The rooms are roomy and immaculately tidy with all the amenities you could possibly require. The bed was incredibly cozy and gave a fantastic night's rest. The hotel could use some modernizing as it is somewhat old-fashioned. The breakfast at the hotel was pricey, but the food was excellent in general. The hotel's pool is available for extended periods of time for visitors. The hotel can provide assistance with the costly parking, but it is an additional expense.",0.7048209
ref,dev,24,This greatly loved hotel is well kept and comfortable. Everything you could need in terms of shops and restaurants are really close to this hotel making it superbly located. Additionally there are plenty of attractions such as a theatre and cathedral just around the corner. The view from the luxurious room was really nice overlooking the courtyard when it was sunny. Additionally rooms can accommodate four people while still being comfortable and really clean. The doorman was always at the entrance of the hotel to greet guests and the great staff were very welcoming. There was a buffet for breakfast and it provided great-tasting food. Additionally there is a great outdoor dining area that was well-suited for eating lunch. There were some really great toiletries available at this hotel. The price was really reasonable as well considering how comfortable and elegant the hotel is.,"

This much cherished hotel is well-maintained and cozy. The proximity of the hotel to a variety of stores and eateries makes it an ideal location. In addition, there are numerous sights to see nearby including a theater and cathedral. The scenery from the opulent room was very pleasant while looking out onto the courtyard when the sun was shining. In addition, the rooms can hold up to four people while still providing a cozy and spotless atmosphere. The doorman was stationed at the hotel entrance to welcome guests, and the wonderful staff were very hospitable. A spread of delicious food was available at breakfast. In addition, there was a pleasant outdoor space that was perfect for having lunch. This hotel had some really excellent toiletries on offer. The cost was very reasonable in light of how luxurious and stylish the hotel is.",0.732104
ref,dev,25,"The hotel is great and provides a safe place to stay. It is a favourite with guests. The hotel is close to the metro line and Rembrandt Square and away from the louder tourist areas. The room was quite small at this hotel but it was quite modern and clean. Everything was wheelchair-accessible which was fantastic, even if there was no shower curtain and it left the bathroom floor somewhat wet. The staff at the front desk were unhelpful to guests. The hotel provides a fantastic selection of food in their seafood bistro. The WiFi in the hotel lobby is very slow. The carpet was dirty and the exterior of the hotel is noisy and overcrowded.","

The accommodation at the hotel is excellent and offers a secure environment for visitors. Many guests enjoy it. The hotel is situated near the metro line and Rembrandt Square, and far from the noisier tourist spots. This hotel had a cramped room, but it was up-to-date and spotless. The accessibility for wheelchairs was great, though the lack of a shower curtain meant the bathroom floor was a bit damp. The personnel at the reception were not accommodating to visitors. The hotel has an amazing array of dishes in their seafood restaurant. The WiFi in the hotel lobby is running at a sluggish speed. The carpet was grubby and the outside of the hotel was loud and packed.",0.7456696
ref,dev,26,"This is a really great little hotel. It isn't a full-on resort but it was nice all the same. There are many things to do within walking distance. The hotel rooms are smaller, but clean and furnished well with antiques for some charm. The breakfast at the hotel was adequate. The coffee was great. There were some items missing and there was a run-down feel here. The carpeting did not help with the worn-down atmosphere. The elevators weren't that big either meaning a surfboard could not even fit in it.","

This is an excellent small hotel. It may not have been a luxurious resort, but it was still pleasant. There are numerous activities that can be done within a short stroll. The hotel rooms may be on the smaller side, yet they are tidy and tastefully decorated with vintage pieces for an added touch of character. The breakfast provided by the hotel was satisfactory. The coffee was superb. There were a few things absent and the atmosphere was rundown. The carpeting did not improve the dilapidated ambiance. The elevators weren't very spacious, so a surfboard would not be able to fit inside.",0.72648203
ref,dev,27,The hotel is tranquil and clean and overall an enjoyable place to stay whilst in Rome. The hotel is close to a number of local restaurants and the busier areas of Rome. The rooms in the hotel are adequate with spacious bathrooms. The staff leave a chocolate on the beds each night for their guests. The buffet breakfast was very good. The hotel's corridors were quite plain and could benefit from some decoration. The free Wi-Fi worked well and the Bulgari toiletries smelled lovely.,"

The hotel is peaceful and spotless and altogether a pleasant place to stay while in Rome. The hotel is situated near various eateries and the livelier parts of Rome. The hotel's accommodations are satisfactory and the bathrooms are roomy. The personnel place a piece of chocolate on the beds of their customers each evening. The spread of food at the breakfast buffet was excellent. The hallways of the hotel were rather plain and could use some adornment. The Wi-Fi connection was efficient and the Bulgari toiletries had a pleasant scent.",0.79588854
ref,dev,28,This flawless hotel provided a great stay and it's really recommended. The hotel is closely located to Giotto's Campanile. The rooms in this hotel are really great and quite spacious. There was some outside noise from the bells in the morning however. It was difficult to navigate the hotel due to the floor layout.,"

This impeccable hotel gave an excellent stay and it is highly suggested. The hotel is in close proximity to Giotto's Campanile. This hotel has some really terrific rooms that are quite roomy. The bells in the morning created some noise from outside. It was challenging to find one's way around the hotel because of the way the floors were laid out.",0.76377755
ref,dev,29,"This is a great place for a short stay and it will likely make you want to come back again. The hotel isn't really central. The area is quite safe so really the location is pretty good. The rooms in the hotel are modern. Some of the hotel's staff seemed disinterested in helping with an incident at the hotel. It is worth mentioning that you can get a complimentary coffee from the barista. There is a coffee machine supplied here, which is fine. The parking at the hotel costs 12 a night.","

This is an excellent location for a brief visit that will likely have you wanting to return. The hotel is not in a prime location. The region is secure, thus the spot is quite favorable. The hotel has up-to-date rooms. Some of the hotel's personnel appeared to be apathetic towards assisting with an occurrence at the hotel. It is noteworthy that the barista will provide you with a free coffee. A coffee machine is provided here, which is satisfactory. The fee for parking at the hotel is 12 dollars per night.",0.72327
ref,test,30,"The hotel is decent and a great choice if looking for a cheap, clean, and secure place to stay. The hotel is close to the Grand Bazaar, Blue Mosque and the tram lines for transport around the city. The rooms are pretty comfortable but this room in particularly constantly had smoke blowing up from the lobby. The staff at the hotel provided a good service. The hotel had breakfast included in the price of the stay. One thing to note with the hotel is that there is only a one way transfer, so you will have to pay for either the pick up or the drop off to the airport.","

This hotel is a good option if you're looking for an affordable, tidy, and safe place to stay. The hotel is located near the Grand Bazaar, Blue Mosque, and the tram routes that provide transportation throughout the city. This room is notably more comfortable than others, yet there is constantly a stream of smoke coming up from the lobby. The personnel at the hotel gave excellent service. The cost of the hotel stay included a complimentary breakfast. It is important to keep in mind that the hotel only offers a one-way transfer service, meaning you will have to cover the cost of either the pick up or drop off to the airport.",0.7596204
ref,test,31,"The facilities of this hotel are really great and therefore it's one of the most enjoyable stays. The location of the hotel was rather disappointing and not a very scenic area of Hong Kong. The hotel's rooms are adequate, although perhaps a little darkly lit. The rooms are clean and quiet, although for a more updated room it is worth booking a room on the Club floor. There is nothing the staff find to be too much trouble. The buffet breakfast is absolutely amazing and really varied. In addition the restaurant provides some really good food that's worth trying. The hotel has a bi-hourly bus shuttle service available to guests. It is not worth getting a hotel with a pool as it is often not the climate for swimming etc.","

This hotel has amazing amenities, making it one of the most pleasant places to stay. The hotel was situated in an unappealing spot and not a particularly picturesque part of Hong Kong. The hotel's accommodations are satisfactory, although the lighting may be a bit dim. The rooms are spotless and serene, however if you are looking for a more up-to-date room, reserving one on the Club floor is a good option. The staff are willing to do whatever it takes. The spread of food available for breakfast is incredibly impressive and offers a wide variety of options. Furthermore, the eatery has some scrumptious cuisine that is worth sampling. The hotel offers a bus shuttle service that runs every two hours for guests. Staying in a hotel with a pool is not a good idea since the weather may not be suitable for swimming.",0.6421788
ref,test,32,"A unique hotel that provides a similarly unique and unforgettable experience. It can't be recommended highly enough for the convenience and friendliness here. The location is superb. It had absolutely in the center of everything you could need. The hotel rooms are decorated sophistically, although the TV was very small. Exceptional service; every member of staff on front of house were super polite, courteous and so thoughtful. Brasserie Jo, the restaurant attached to the hotel, is excellent with delicious food, charming atmosphere , and the best service. There's a good gym in this hotel. It is on the fifth floor and features some cardio machines.","

A hotel that offers a one-of-a-kind and unforgettable experience. It is highly recommended for its convenience and welcoming atmosphere. The spot is excellent. It was situated right in the middle of all that was necessary. The hotel rooms had a sophisticated decor, though the television was quite petite. Outstanding service; every employee in the customer-facing area was incredibly polite, gracious, and incredibly considerate. Brasserie Jo, the eatery connected to the hotel, is outstanding with delectable cuisine, a pleasant ambiance, and superb service. This hotel has an excellent gym. It is located on the fifth level and has some cardio equipment.",0.706115
