summ_type,split,example_id,summ_a,summ_b,summ_comm,nli_contrast_ent_score
ref,train,10,"

The hotel is situated in a peaceful canal street, within comfortable walking distance to landmarks like The Dam and Anne Frank's House. Despite the small room, the view of the canal was terrific. It may be worth requesting a larger space, though the little room did contain a large bathroom. Unfortunately, staff at check-in and the breakfast area were quite brusque and unhelpful. Breakfast was moderately priced but offered only minimal servings and the food was peculiar. Additionally, the shower was unacceptably hot.","

The hotel lies in close proximity to both the Metro and the train stations, affording a breathtaking view of the surroundings from the balcony. Moreover, it is extremely close to Central Station. There were a few issues related to the lack of cleaning despite the requests for it, however, the rooms were very stylish and provided great views. The beds were incredibly comfortable and had Apple TV in them. The staff were incredibly polite and apologised for any inconvenience, though no compensation was given. The breakfast provided by the hotel was delicious, albeit it took a while to arrive. The sky lounge was a recommended experience although it is pricey. The towels that were requested came later than anticipated.","

This accommodation was worth every penny, as it provided an extraordinary experience. The personnel at the hotel were overwhelmingly hosp",0.014506095729111096
ref,train,11,"

This hotel is highly recommended by anyone. It is well-maintained with good amenities, a luxurious and cozy atmosphere with a beautiful courtyard and swimming pool. It is conveniently located close to the city's top attractions and can be easily accessed by foot. The bedrooms are tidy and the beds are very comfortable. The only issue was the shower, which sprayed water outside of the tub. The staff members were incredibly friendly and professional, although there was a minor issue as the housekeeping personnel do not work after midnight. Additionally, the hotel lobby provides delicious chocolates, gingersnaps and offers a complimentary breakfast. The pool area is also stunning. Although there is no valet parking, the hotel still provides a pleasant experience.","

The feeling of being in this place was generally great and true to the city; a really nice spot with a lot of effort put into it. Some of the rooms have no windows and the furniture is in poor condition. The cleanliness of the guest rooms definitely needs improving. Management didn't appear to be too enthusiastic, however the concierge and reception staff were helpful and friendly throughout their shift despite being occupied. For breakfast only coffee and pastries are available. Despite the affordable price and complimentary parking, they alone were not justifications to make this selection."," 

The accommodating staff at the hotel, together with its prime location near the French Quarter, make it an ideal spot for",0.016816456851222922
ref,train,12,"

This European hotel is absolutely delightful. It is situated near the River Arno and is quite peaceful. The rooms are well outfitted with properly operating air conditioning, plus a beautiful view. The hotel staff members work diligently to make sure all of your needs are met and the manager has a great deal of knowledge regarding the local area and its attractions. You are able to use a computer in the lobby to access the internet at no cost. The balcony was especially lovely and it was a wonderful place to observe the passerby.","

This hotel is significantly older than the images on their site suggest. On the whole, it is an acceptable establishment; situated conveniently near the train station, major features of Florence, buses to Fiosole, the plaza Michelangelo, and the discount mall. However, the rooms are diminutive and can make one feel insecure. Plus, traffic to and from the adjacent construction zone can be audible. The staff members do not seem particularly cordial either. It is also quite loud.","

The lodgings at the hotel were spotless. There were loads of options for breakfast, which",0.017130992353243783
ref,train,13,"

This hotel is the perfect match for a fun and youthful bunch, such as a girls' getaway. Its proximity to the city is convenient with buses, far removed from the hustle and bustle of downtown. It is situated in the heart of Lincoln Park, with plenty of eateries, cafes and nightlife around. Plus, Clark Street is a go-to spot for shoppers. The rooms have double beds, great for single or couples. The rooms are rather spic and span, although the shower needs an upgrade. Breakfast is included and the security system is robust, with all guests needing to scan their keycard to access the elevator and staircases. Though the street sounds can become loud occasionally, it's more of an inconvenience than a nuisance. The only hitch is when it comes to parking--the valet at the front of the hotel can be tough to find.","

This hotel comes highly recommended; it is a great place to stay that is also financially friendly. Situated in a peaceable region and within reasonable distance from popular attractions, what more could you ask for? The room itself was spotless and wonderfully decorated and the bed was big and comfy. The bathroom, too, was generous and equipped with the essentials. Plus, it had a nice selection of food services. There are few added luxuries such as a flat-screen television and cosy down-feather duvets.","

The staff at the hotel are friendly and supportive.",0.020023342342608542
ref,train,14,"

The hotel is stunning, yet pricey. It usually has many visitors due to its popularity. The rooms are pleasant, and come with a DVD player. The service was remarkable, with the staff always being good-natured. Unfortunately, the selection of food wasn't great, and nothing was particularly fresh. Additionally, the peanut shells on the floor are a slipping hazard. The toilets around the corner are not in accordance with Singapore's standards.","

This was a remarkable stay fitting for both business travelers and vacationers. Its location nearby the well-renowned Orchard Road shopping area, coupled with a complimentary shuttle service, makes getting around convenient. The rooms were exquisite and meticulously clean, with ample space and generous luxury decor. Each staff member on board was incomparable and courteous - even the taxi-hailer was attentive to detail. In the morning, the buffet-style breakfast array was a truly delicious spread and in the afternoons they provided delightful tea and canapes. Additionally, the hotel gym and pool had free Wi-Fi access and cold water as well as iced face towels for convenience.","

The personnel at the hotel were extremely hospitable toward",0.03504522639731555
ref,train,15,"

This hotel provides a combination of comfort and an oddly-unsettling feeling. It is situated in a convenient area, just steps away from Eaton Centre, Yonge Street, and leading shopping venues. Unfortunately, the blocks around it are not great. The staff was incredibly friendly and gave helpful tips for local attractions. The food was satisfactory with both hot and cold dishes included in the breakfast buffet; there are other restaurants near the hotel worth exploring as well. The establishment offers a number of great extras like a pool with hot tubs and a well-equipped locker room area, a spacious rooftop terrace with plenty of seating, and complimentary Wi-Fi. The only con is the costly parking setup.","

The hotel was luxurious, giving an aura of regality, and made guests feel like royalty. Though the room was a bit cramped and had evidence of neglect in some areas, the beds were indulgently cushy and the flat-screen TV was great. All in all, this was a great hotel; the only downer being the additional cost required for internet access- an occurrence common among pricier hotels.","

The personnel at the reception of the hotel were accommodating and the rooms were",0.03631888476440739
ref,train,16,"

The hotel had great appeal and was clean. It is near the railway station but unfortunately, the fire department is close by and can be quite noisy. Various bars are conveniently situated nearby. The rooms were spotless, cozy, yet could do with a bit of refurbishment. The shower and bath had good access for people with disabilities. A complimentary morning buffet and all-day thermal drinks were accessible, making it ideal for families. What's more, the Rock Bottom Brewery with its succulent dishes is at a close vicinity. As a kind gesture, early check-in was available in lieu of waiting until the regular time.","

This excellent hotel is an ideal option for those travelling to Chicago, since it is very conveniently located, just off the river and a short walk from downtown. The rooms had ample space but unfortunately were a bit dusty and too hot, and the beds and bathrooms were satisfactory. Unfortunately, some of the cleaning staff failed to clean one area. Additionally, items from the minibar, even something as simple as a canned soft drink, were too high of a price. Further, the parking system is overly expensive valet. Lastly, the internet connection cost was unreasonable. All in all, it is still a great hotel and highly recommended.","

The personnel provided excellent service and I would have no qualms",0.015619802679665645
ref,train,17,"

This hotel offers all the latest amenities but its interior design is in an attractive vintage style. Visitors can get to the city centre easily and quickly, rendering it incredibly desirable for its location. A few of the rooms are tastefully decorated and tranquil, with comfortable beds and a fireplace. Although the water pressure for showers was impressive, walls are thin and soundproofing is lacking due to the building's age. The hotel also provides a car service and serves delicious food. However, the faucets in the sinks require a bit more force to use.","

This tremendous spot is ideal for either business or pleasure. Journeys spent here have always been pleasant and hassle-free. It's right by the theatre district with eateries nearby and situated close to Macy's, TJ Maxx and other local shops, plus the closest metro stop for travel convenience. The hotel's rooms are incredibly well-kept and come highly recommended. There's only one dining establishment and a small bar in the hotel so your choices are limited. Complimentary breakfast is available although not advertised prominently, however, a fee is charged for accessing the WiFi and the fitness centre isn't exactly the best.","

The accommodation of the hotel was spotless and situated in an ideal area",0.035329816190520995
ref,train,18,"

This hotel is overall great but quite expensive.If you stay at the front of the hotel, it can be quite disruptive due to the horns from the street. Its location is central and one can easily walk to several shops, attractions like Casa Batllo and la Pedrera, as well as the nearby metro station. The standard bedroom is smaller than expected, and mostly taken up by a big, comfy bed. The bathroom needs to be updated and is outdated. Room service is expensive, and the breakfast is not worth the cost. The two small lifts in the hotel often require a long waiting time, making it quite inconvenient. Staying in the rooms facing the courtyard at the back of the hotel is quieter than the ones at the front.","

Although the hotel is conveniently located for shopping and dining, as well as being close to a beach and subway station, it is still far from offering an authentic local feel. The room was bigger than depicted on the website but unfortunately not - as promised - spotless. In addition, it had a bad odour and displayed drug-related items. The staff was polite and accommodating, and importantly even one of the porters was able to demonstrate how to use the room's technological features. The breakfast was of an average quality with coffee from a machine being undrinkable. Fast internet and a decent gym are provided. Nonetheless, the pool was modest in size and different from the photos online which made it a bit overcrowded. All in all, the hotel is","

The hotel is situated close to the downtown area.",0.026104113042787404
ref,train,19,"

The hotel featured a spa and multiple pools to ensure guests had a tranquil stay. The hotel was spotless, and small-scale ice sculptures were on display for those wishing to explore further. Positioned conveniently, those staying at the hotel had various restaurants and bars in the vicinity. The rooms were roomy and equipped with a modern flat-screen, HDTV. Cleanliness was always top priority, and upon request, toiletry items were supplied. Despite its hefty price tag, the lavish atria contained a mesmerizing variety of flora and fauna.","

This hotel has a great location, only 10 minutes from Disney, 20 minutes from Universal Studios and Seaworld. Also, a selection of restaurants are nearby. The rooms are comfortable and fairly priced, not enough for more than two persons. The air conditioning was good though the rooms required more cleaning. The bar at the hotel is quite economical and offered an excellent Long Island iced tea. Unluckily, there were some discrepancies between what was advertised on the website and what was received; the prices ended up being higher than expected when booked on site, and the barbecue and lagoon areas really did not meet up to expectations. Despite this, I would still highly recommend this hotel to others.","

I strongly suggest staying at this hotel. The personnel were extremely accommodating",0.03961416597046665
ref,dev,20,"

This hotel is situated conveniently close to restaurants, the river, and stores, and features conference rooms available to be rented out for meetings and other corporate occasions. The chambers are substantial and accommodatingly decorated. What's more, the restroom is roomy and has a spacious tub. Additional lovely touches such as a chocolate on the pillow round out the experience. There is even a rooftop for beverages, but regrettably there is no pool.","

Staying at the hotel during the winter season is a truly remarkable experience. Initially, the room was a bit cramped, even the bathroom, but after changing to a suite it was perfect. With its modern design, the suite had a magnificent view from the window. The breakfast and dinner options were expensive, but there was excellent taste and quality. Contrary to what would usually be expected, there was no free coffee maker or coffee available. The toiletries were great but there","

The employees at the hotel were remarkably helpful and the accommodation was in a",0.013642568523120995
ref,dev,21,"

This hotel is situated in an ideal spot - close enough to the center's nightlife, eateries and bars to enjoy a leisurely stroll. The upper-level rooms present breathtaking perspectives, and the spacious accommodation is of impressive quality, with a full kitchen included for convenience. The complimentary breakfasts that the hotel offers is particularly savory.","

This hotel is fabulous and absolutely marvelous, making it an ideal choice to revisit. It's conveniently located near many attractions such as the CN Tower, Hockey Hall of Fame, and Rogers Centre. Despite the fact that the deluxe room was a bit little and did not have a good view, the room was spotless. Nevertheless, there was a certain level of noise that could be heard from it. Furthermore, the hotel's breakfast is something that comes with the room rate -- however, it","

The personnel at this hotel were mostly satisfactory and sometimes even exceeded expectations in terms of service, but there were occasional instances of suboptimal treatment of guests. Additionally, being in",0.04231743762765316
ref,dev,22,"

The hotel provides a cozy atmosphere, but lacks any small individualized touches. Situated above the Pacific Place shopping mall and connected to a train station, getting to the commercial district can be long. The rooms were recently updated and come with modern amenities, but were small and without aesthetics. A café providing lunch on-site was costly and not ideal, however acertainment in the form of drinks from the lobby bar are a nice touch. Besides that, the hotel features an extensive list of amenities like a gym and a pool.","

This hotel, which was given an award for being the best airport hotel, is quite tranquil despite being connected to the airport. The hotel itself is great and you will likely want to re-visit it. Its location is ideal for anyone that is traveling by air as it is very close to the airport and helps with arriving for flights on time. The suites in this hotel are roomy, but some of the appliances weren't working. The breakfast buffet was delicious. Baggage was managed competently and the check-in went quickly.","

The accommodations at the hotel were tidy and roomy, and the personnel were",0.020385850657476064
ref,dev,23,"

This hotel had a good price tag and was very tidy. However, it does need some renovations. The hotel is situated in an excellent area with a convenient stroll to the retail and dining scene and the nearby convention centre. Each room is roomy and spotless and includes what you require. The bed was very comfortable, making for an excellent night's rest. Sadly, the hotel is a bit old-fashioned and needs some updating. Breakfast, however, was expensive but the food was really good. There's a swimming pool that's open for a sizeable length of time for visitors. As well, a parking lot is available but it is on the costly side, however, the hotel will help you out with that.","

Visitors will be inclined to keep returning to this remarkable hotel that surpasses any other in the city. The personnel exhibit a first-rate professionalism, although, as it's quite a new establishment some workers require more time to hone their skills. We were offered a gratis round of drinks as an acknowledgment. In addition, the hotel provides an excellent breakfast and a delicious spread of hor d'oeuvres in the afternoon. Furthermore, they presented us with a complimentary round of drinks due to the issue. Considering the excellent value-for-money, the hotel surpassed all expectations set out","

This hotel comes highly recommended and is situated in a prime spot. The staff are extremely friendly and accommodating to the needs of their patrons.",0.0189889728801409
ref,dev,24,"

This much admired accommodation is immaculate and cozy. There are plenty of stores and eateries close by that makes it truly convenient. Plus, as an added bonus, there are lots of attractions like a theatre and cathedral in proximity. The view from the opulent room was delightful, which is overlooking the courtyard when it is sunny. Also, its rooms can house four people while still maintaining coziness and tidiness. A doorman will be always present to welcome the guests, and the kind hotel staff members are quite amiable. Furthermore, it offers a buffet breakfast with scrumptious food. It also has a fine outdoor dining area that's great for having lunch. Furthermore, it provides high-quality toiletries. All of these are reasonably priced and it is indeed sophisticated.","

A nice and pleasant stay without spending a fortune is offered by this high-quality hotel. Unfortunately, the bathtub took ages to drain and the internet access could only be used by one computer per room. However, their breakfast selection was excellent, as was the bar's selection. An added bonus was that executive rooms provided complimentary breakfast, as well as appetizers and snacks for a nominal payment.","

The personnel at this much praised Montreal hotel were affable, inviting and so obliging. Furthermore, the hotel is near to some attractions",0.03188736133533354
ref,dev,25,"

This hotel is a great option for those seeking a safe place to stay. It's close to the metro line and Rembrandt Square, and far enough away from the busier tourist spots. The room was a bit tiny, but it was stylish and tidy. The hotel was wheelchair-accessible, however, the shower area didn't have a curtain, making for a wet bathroom floor. The front desk employees were not accommodating whatsoever. The seafood bistro in the hotel offers an impressive menu, but the WiFi in the lobby is quite sluggish. The carpets were not clean and the area outside the hotel was overcrowded and noisy.","

Staying at the hotel was pricey, but it was totally worth the cost. There was no issue with it. The sight from the chamber was superb since it had the canal in full view. Additionally, Wi-Fi in the room was available at no charge, which was very helpful. Even better was the fact that the rooms were luxury-grade and decorated gorgeously. All of the staff members were kind and skilled making it a truly pleasant experience. The internet access was gratis and they even allowed patrons to use a printer if needed.","

The accommodations of the hotel are pristine and it is certainly well worth the recommendation. The hotel is within a quick walk to many attractions. Even though it is somewhat expensive, the morning meal was",0.019763844345096874
ref,dev,26,"

This accommodation option was great all in all, although not a large, lavish resort. There were a plethora of places nearby, perfect for exploring. The bedroom inside the hotel was a bit petite, but impeccably clean, complete with antiques for added character. The breakfast options were satisfactory, but the coffee was excellent. The building could've used a facelift and the carpets were a bit outdated. This small hotel even had an elevator, albeit quite cramped, not roomy enough to house a surfboard.","

Staying at this accommodation was truly enjoyable and I will definitely return. It can get crowded, however the atmosphere is still pleasant. The rooms were wonderful but due to thin walls, there wasn't much privacy. Additionally, the hotel had excellent access to the local eateries with a wide range of food available. There were various highlights to this hotel, like the amazing pool, even if it's suggested you get there early to get a spot - it's not a real issue.","

This hotel provides an ideal spot to take in a picturesque view of the ocean and nearby beach in Hawaii. The staff were very accommodating and professional. I would highly recommend this resort.",0.013949418081051901
ref,dev,27,"

The hotel is quite and sanitary, making it a pleasant place to stay when in Rome. It is in proximity to dining spots and the center of the city. The accommodations are adequate and the bathrooms are roomy. The hotel staff leave a chocolate surprise on the beds every evening. The breakfast spreads were very tasty. The passageways may need some decor to liven it up. The complimentary Wi-Fi was in great condition and the Bulgari toiletries smelled heavenly.","

The hospitality of this hotel had us so impressed that we have no complaints whatsoever, and we definitely recommend it to anyone considering a stay. Everything is within easy reach – historic sites, restaurants, and the river – plus, the rooms are full of character, display period decor and have huge beds! Plus, many of the staff have in-depth knowledge of the city and are more than happy to give you ideas of what to do. The breakfast provided was satisfactory if a little basic, though they did serve superb coffee! The rooftop garden was even better in real life than it is in the photos, making it a spectacular addition to this hostel.","

I would highly recommend this hotel, since the personnel were so friendly and accommodating. Plus, it is conveniently situated close",0.043839341394062564
ref,dev,28,"

This accommodation delivered a great stay and is strongly suggested. Nearby to Giotto's Campanile, the rooms here were really fantastic and adequately spacious. There were a few noises from the bells in the morning yet. Nevertheless, it was hard to find one's way around the hotel due to the building plan.","

A return visit is definitely in order at this hotel, situated on a quiet side-street. The hop-on hop-off tourist bus, which is relatively close by, makes it especially convenient for getting around to sight-see. The hotel accommodations are clean and basic yet offer a nice vantage point of the rooftops. For those who prefer a big breakfast, the continental option was incredibly delicious.","

The employees at the hotel are very accommodating. The position of the hotel is ideal as it is situated in the downtown area near tourist attractions and it reflects the local culture.",0.025235923215404858
ref,dev,29,"

This place is great for a brief stay, so you likely won't want to leave! Although it is not located particularly close to the city centre, the area is secure, so its location is fairly good. The rooms in the hotel are contemporary, plus you can get a free cup of coffee from the barista. There is a coffee maker also available. You do have to pay 12 pounds per night for parking. It is noteworthy to mention that one of the receptionists appeared unhelpful when an occurrence happened at the hotel.","

Staying at the hotel, guests were ensured an environment of safety and ease. This hotel's location provides excellent convenience for exploring the city, as many points of interest are within walking distance. The rooms are decently sized and feature air conditioning and wifi, while the staff will even place a call to the USA using the hotel phones. The complimentary breakfast options were satisfactory; however, the restaurant itself could have been improved. Despite this, the heat within the hotel rooms made it difficult to sleep, and the rates charged for brief calls were quite pricey.","

Some of the employees of the hotel were accommodating. If you're looking to venture out a bit, there's a train station nearby.",0.026363272172322698
ref,test,30,"

This hotel is a great deal if you are looking for a budget-friendly, clean, and safe accommodation option. It is located close to the Grand Bazaar, Blue Mosque, and tram lines, providing you with easy access to the city. The rooms are usually comfortable, however, this one in particular was filled with smoke from the lobby. The hotel staff proved to be helpful, and breakfast is included in the rate. One thing to bear in mind is that only one-way transportation service is provided, so you would need to pay for either the pick up or drop off at the airport.","

The hotel may not look up-to-date, but it is still a great place to stay. With its hillside location, guests are able to enjoy amazing views of the Bosphorous. The bedrooms are roomy, renovated and tidy. Not only are the rooms comfortable but also the bathrooms are huge. The staff members are very attentive. The food may be passable, but it is very expensive. The hotel offers internet access, but it comes at a cost of $25 per day.","

The hotel boasted an excellent breakfast with very friendly staff. Additionally, the location was perfect.",0.018148096190998282
ref,test,31,"

This hotel is one of the most comfortable and enjoyable stays due to its great facilities. Unfortunately, its location is not ideal as it is not in the most picturesque area of Hong Kong. The accommodation is decent, though a bit too darkly lit, but it is clean and tranquil. For a more modern room, it is recommended to reserve a room on the club floor. The hotel workers are more than willing to help with any inquiries. In addition, the breakfast buffet is remarkable in variety and taste, as well as the in-house restaurant that is definitely worth trying. There is a bi-hourly bus shuttle service for guests. With the unsuitable climate for swimming, it is not essential to have a hotel with a pool.","

This hotel is really superb and you won't think twice about booking here again and again. The rooms were fairly roomy and had a pleasant outlook. Unfortunately, some of the staff were not as knowledgeable as they could have been and they had negative dispositions. The mix of cuisines was superb and all of high quality and flavour. What's","

The employees at the hotel were typically amiable and",0.059315072728665756
ref,test,32,"

This hotel is truly one-of-a-kind and offers a memorable experience you won't soon forget. It comes highly recommended for its convenience and friendly service. The location is unparalleled, situated right in the middle of all your needs. The rooms are sophisticatedly designed, albeit with a small television. The staff at the front desk are incredibly courteous, polite, and thoughtful. Also, the restaurant attached to the hotel, Brasserie Jo, serves delicious food, has a great atmosphere, and comes with excellent service. To top it off, there's also a wonderful gym on the fifth floor with a number of cardio machines.","

This hotel is an ideal choice for anyone, regardless of the purpose of their stay, as it provides an overall pleasant experience at a fantastic price point. It's conveniently located close to Boston's public gardens and the Arlington T line station. The rooms may be smaller in size, but the homely charm they exude bring a lot of comfort. The attentive staff were helpful when we encountered some bumps in our stay, like when the elevators malfunctioned or power went out. On top of all that, we thoroughly enjoyed the hotel's Christmas Tea as well as the delectable seafood served at their restaurant.","

The hotel has tidy and inviting guest rooms, and the personnel were extremely obliging and amiable. Additionally,",0.03359579615555383
