,example_no,split,entity_a,entity_a_name,entity_b,entity_b_name,summ_type,summ_no,sent_id,complex_sent,simple_sent_id,simple_sent
11,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N005,The beds are super comfortable.,E000RA00N005_000,The beds are comfortable.
12,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N006,The bathroom is also pretty large with a nice vanity area.,E000RA00N006_000,The bathroom is pretty large.
13,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N006,The bathroom is also pretty large with a nice vanity area.,E000RA00N006_001,There is a nice vanity area.
14,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N007,The staff were even willing to help with last minute late checkout request.,E000RA00N007_000,The staff were willing to help.
15,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N007,The staff were even willing to help with last minute late checkout request.,E000RA00N007_001,They were willing to help with a last minute late checkout request.
16,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N008,"The restaurant provides great food, but it closes too early for us.",E000RA00N008_000,The restaurant provides great food.
17,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N008,"The restaurant provides great food, but it closes too early for us.",E000RA00N008_001,The restaurant closes too early for us.
18,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N009,The hotel actually has bikes to rent.,E000RA00N009_000,The hotel has bikes to rent.
19,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N010,Parking close-by can be very pricey per day.,E000RA00N010_000,Parking close-by can be very pricey.
20,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N010,Parking close-by can be very pricey per day.,E000RA00N010_001,The cost is per day.
21,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_a,0,E000RA00N011,The elevators feel not safe.,E000RA00N011_000,The elevators do not feel safe.
22,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N000,It was overpriced here at this hotel and the cleaning standards were only okay.,E000RB00N000_000,It was overpriced at this hotel.
23,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N000,It was overpriced here at this hotel and the cleaning standards were only okay.,E000RB00N000_001,The cleaning standards were only okay.
24,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N001,"This hotel isn't in a great location because it was outside of the old town, which is where some good attractions are.",E000RB00N001_000,This hotel isn't in a great location.
25,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N001,"This hotel isn't in a great location because it was outside of the old town, which is where some good attractions are.",E000RB00N001_001,It is outside of the old town.
26,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N001,"This hotel isn't in a great location because it was outside of the old town, which is where some good attractions are.",E000RB00N001_002,Some good attractions are located in the old town.
27,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N002,Whilst somewhat nice to be away from the main strip it could have been closer to the main attractions.,E000RB00N002_000,It is somewhat nice to be away from the main strip.
28,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N002,Whilst somewhat nice to be away from the main strip it could have been closer to the main attractions.,E000RB00N002_001,It could have been closer to the main attractions.
29,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N003,Some of the staff were rude and unhelpful.,E000RB00N003_000,Some of the staff were rude.
30,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N003,Some of the staff were rude and unhelpful.,E000RB00N003_001,Some of the staff were unhelpful.
31,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N004,"You can eat your breakfast at the outside restaurant when staying at this hotel, which is really enjoyable.",E000RB00N004_000,You can eat your breakfast at the outside restaurant when staying at this hotel.
32,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N004,"You can eat your breakfast at the outside restaurant when staying at this hotel, which is really enjoyable.",E000RB00N004_001,Eating at the outside restaurant is really enjoyable.
33,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N005,This is a great stay and you can ask for a reduced rate if you are a Florida resident.,E000RB00N005_000,This is a great stay.
34,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N005,This is a great stay and you can ask for a reduced rate if you are a Florida resident.,E000RB00N005_001,You can ask for a reduced rate.
35,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N005,This is a great stay and you can ask for a reduced rate if you are a Florida resident.,E000RB00N005_002,The reduced rate is available for Florida residents.
36,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N006,"The pool is really worth checking out, as well at the hot tub.",E000RB00N006_000,The pool is really worth checking out.
37,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_b,0,E000RB00N006,"The pool is really worth checking out, as well at the hot tub.",E000RB00N006_001,The hot tub is also worth checking out.
38,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_comm,0,E000RC00N000,The hotel is recommended and the staff there were friendly and helpful to guests.,E000RC00N000_000,The hotel is recommended.
39,0,train,126127,Sheraton Suites Key West,209365,The Inn at Key West,refs_comm,0,E000RC00N000,The hotel is recommended and the staff there were friendly and helpful to guests.,E000RC00N000_001,The staff there were friendly and helpful to guests.
40,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N000,The hotel has an enjoyable ambience and is great value for money.,E001RA00N000_000,The hotel has an enjoyable ambience.
41,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N000,The hotel has an enjoyable ambience and is great value for money.,E001RA00N000_001,The hotel is great value for money.
42,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N001,"This location is great if you're looking to access the great fun and action close-by, but with that comes hustle-and-bustle noise from the street the hotel is located on.",E001RA00N001_000,This location is great for accessing the great fun and action close-by.
43,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N001,"This location is great if you're looking to access the great fun and action close-by, but with that comes hustle-and-bustle noise from the street the hotel is located on.",E001RA00N001_001,There is hustle-and-bustle noise from the street the hotel is located on.
44,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N002,The rustic rooms here are a little small but really comfortable and clean while the beds are big.,E001RA00N002_000,The rustic rooms here are a little small.
45,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N002,The rustic rooms here are a little small but really comfortable and clean while the beds are big.,E001RA00N002_001,The rustic rooms here are really comfortable and clean.
46,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N002,The rustic rooms here are a little small but really comfortable and clean while the beds are big.,E001RA00N002_002,The beds are big.
47,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N003,There was a thatched roof to the room that provided an airy feel but of course not soundproof.,E001RA00N003_000,There was a thatched roof to the room.
48,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N003,There was a thatched roof to the room that provided an airy feel but of course not soundproof.,E001RA00N003_001,The thatched roof provided an airy feel.
49,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N003,There was a thatched roof to the room that provided an airy feel but of course not soundproof.,E001RA00N003_002,The thatched roof was not soundproof.
50,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N004,The hotel provides great breakfast to be eaten above the garden or to take away.,E001RA00N004_000,The hotel provides great breakfast.
51,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N004,The hotel provides great breakfast to be eaten above the garden or to take away.,E001RA00N004_001,The breakfast can be eaten above the garden.
52,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N004,The hotel provides great breakfast to be eaten above the garden or to take away.,E001RA00N004_002,The breakfast can be taken away.
53,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_a,0,E001RA00N005,The hotel does not provide private parking unfortunately.,E001RA00N005_000,The hotel does not provide private parking.
54,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N000,The hotel is a highlight of the Yucatan province and is different to the commercial areas such as Cancun.,E001RB00N000_000,The hotel is a highlight of the Yucatan province.
55,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N000,The hotel is a highlight of the Yucatan province and is different to the commercial areas such as Cancun.,E001RB00N000_001,The hotel is different from commercial areas such as Cancun.
56,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N001,The food at the hotel is highly recommended and in general the hotel's worth repeat visits.,E001RB00N001_000,The food at the hotel is highly recommended.
57,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N001,The food at the hotel is highly recommended and in general the hotel's worth repeat visits.,E001RB00N001_001,"In general, the hotel is worth repeat visits."
58,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N002,The location is absolutely perfect and is really close to shopping and restaurants options.,E001RB00N002_000,The location is absolutely perfect.
59,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N002,The location is absolutely perfect and is really close to shopping and restaurants options.,E001RB00N002_001,It is really close to shopping and restaurant options.
60,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N003,The rooms are basic but the showers work well.,E001RB00N003_000,The rooms are basic.
61,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N003,The rooms are basic but the showers work well.,E001RB00N003_001,The showers work well.
62,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N004,"The rooms are purposefully lacking in mod cons such as TVs, radios and phones.",E001RB00N004_000,The rooms are purposefully lacking in mod cons.
63,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N004,"The rooms are purposefully lacking in mod cons such as TVs, radios and phones.",E001RB00N004_001,"There are no TVs, radios, or phones in the rooms."
64,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N005,"Uniquely, the towels provided in the room are sculpted into animal shapes.",E001RB00N005_000,The towels provided in the room are sculpted into animal shapes.
65,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N005,"Uniquely, the towels provided in the room are sculpted into animal shapes.",E001RB00N005_001,This is a unique feature of the hotel.
66,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N006,The two big-sized pools were perfect as well as some ping-pong tables.,E001RB00N006_000,There were two big-sized pools that were perfect.
67,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N006,The two big-sized pools were perfect as well as some ping-pong tables.,E001RB00N006_001,There were some ping-pong tables.
68,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_b,0,E001RB00N007,The internet accessibility is a bit of a let-down unfortunately.,E001RB00N007_000,The internet accessibility is a bit of a let-down.
69,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_comm,0,E001RC00N000,The staff at the hotel were friendly and helpful and it is very close to the beach.,E001RC00N000_000,The staff at the hotel were friendly and helpful.
70,1,train,614472,Hotel Playa del Karma,156853,Mahekal Beach Resort,refs_comm,0,E001RC00N000,The staff at the hotel were friendly and helpful and it is very close to the beach.,E001RC00N000_001,It is very close to the beach.
71,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N000,This is a really great place to stay and it's really quiet.,E002RA00N000_000,This is a really great place to stay.
72,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N000,This is a really great place to stay and it's really quiet.,E002RA00N000_001,It's really quiet.
73,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N001,The station is really close to the hotel and it is located in an old monastery set in beautiful gardens.,E002RA00N001_000,The station is really close to the hotel.
74,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N001,The station is really close to the hotel and it is located in an old monastery set in beautiful gardens.,E002RA00N001_001,The station is located in an old monastery.
75,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N001,The station is really close to the hotel and it is located in an old monastery set in beautiful gardens.,E002RA00N001_002,The monastery is set in beautiful gardens.
76,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N002,"The rooms in the hotel are spacious, clean and with air conditioning.",E002RA00N002_000,The rooms in the hotel are spacious.
77,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N002,"The rooms in the hotel are spacious, clean and with air conditioning.",E002RA00N002_001,The rooms in the hotel are clean.
78,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N002,"The rooms in the hotel are spacious, clean and with air conditioning.",E002RA00N002_002,The rooms in the hotel have air conditioning.
79,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N003,The food at the hotel is reasonably priced.,E002RA00N003_000,The food is available at the hotel.
80,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N003,The food at the hotel is reasonably priced.,E002RA00N003_001,The price of the food is reasonable.
81,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N004,The hotel lobby provides free wireless internet and you can also borrow one of their laptops if needed.,E002RA00N004_000,The hotel lobby provides free wireless internet.
82,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_a,0,E002RA00N004,The hotel lobby provides free wireless internet and you can also borrow one of their laptops if needed.,E002RA00N004_001,You can borrow one of their laptops if needed.
83,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N000,This hotel is great value and definitely adds to make your trip really special and enjoyable.,E002RB00N000_000,This hotel is great value.
84,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N000,This hotel is great value and definitely adds to make your trip really special and enjoyable.,E002RB00N000_001,This hotel definitely adds to make your trip really special and enjoyable.
85,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N001,There were some great places within walking distance at this hotel.,E002RB00N001_000,There were great places within walking distance at this hotel.
86,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N002,The hotel has well equipped and nicely decorated rooms but the rooms with views are rather expensive.,E002RB00N002_000,The hotel has well-equipped and nicely decorated rooms.
87,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N002,The hotel has well equipped and nicely decorated rooms but the rooms with views are rather expensive.,E002RB00N002_001,The rooms with views are rather expensive.
88,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N003,"The breakfast food items were really varied and very tasty, couldn't recommend enough, This hotel could be improved if there was a lagoon view.",E002RB00N003_000,The breakfast food items were really varied and very tasty.
89,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N003,"The breakfast food items were really varied and very tasty, couldn't recommend enough, This hotel could be improved if there was a lagoon view.",E002RB00N003_001,I couldn't recommend it enough.
90,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_b,0,E002RB00N003,"The breakfast food items were really varied and very tasty, couldn't recommend enough, This hotel could be improved if there was a lagoon view.",E002RB00N003_002,This hotel could be improved if there was a lagoon view.
91,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_comm,0,E002RC00N000,The staff at the hotel were very helpful.,E002RC00N000_000,The staff were at the hotel.
92,2,train,232949,Hotel Abbazia,229001,Savoia & Jolanda Hotel,refs_comm,0,E002RC00N000,The staff at the hotel were very helpful.,E002RC00N000_001,The staff were very helpful.
93,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N000,If you're looking for a decent clean hotel then this is the right one for you because it provides a pleasant and unforgettable experience.,E003RA00N000_000,"If you're looking for a decent clean hotel, then this is the right one for you."
94,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N000,If you're looking for a decent clean hotel then this is the right one for you because it provides a pleasant and unforgettable experience.,E003RA00N000_001,It provides a pleasant and unforgettable experience.
95,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N001,"This is a nice location because you can even see the Colosseum from the hotel, which itself is less than a ten minute walk away.",E003RA00N001_000,This is a nice location.
96,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N001,"This is a nice location because you can even see the Colosseum from the hotel, which itself is less than a ten minute walk away.",E003RA00N001_001,You can see the Colosseum from the hotel.
97,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N001,"This is a nice location because you can even see the Colosseum from the hotel, which itself is less than a ten minute walk away.",E003RA00N001_002,The Colosseum is less than a ten-minute walk away.
98,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N002,"The rooms in the hotel are nicely decorated, although some may find the bed small.",E003RA00N002_000,The rooms in the hotel are nicely decorated.
99,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N002,"The rooms in the hotel are nicely decorated, although some may find the bed small.",E003RA00N002_001,Some may find the bed small.
100,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N003,The day staff spoke English.,E003RA00N003_000,The day staff spoke English.
101,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N004,The hotel has a continental buffet breakfast with good cappuccino available on the roof terrace.,E003RA00N004_000,The hotel has a continental buffet breakfast.
102,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N004,The hotel has a continental buffet breakfast with good cappuccino available on the roof terrace.,E003RA00N004_001,Good cappuccino is available on the roof terrace.
103,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N005,The breakfast is very tasty.,E003RA00N005_000,The breakfast is tasty.
104,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_a,0,E003RA00N006,The showers in the hotel bathrooms are a little small.,E003RA00N006_000,The showers in the hotel bathrooms are small.
105,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N000,The stay at the hotel was comfortable and felt like a home away from home.,E003RB00N000_000,The stay at the hotel was comfortable.
106,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N000,The stay at the hotel was comfortable and felt like a home away from home.,E003RB00N000_001,The stay at the hotel felt like a home away from home.
107,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N001,Definitely recommended.,E003RB00N001_000 ,Definitely recommended.
108,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N002,"The hotel is in a good location for a short walk to the main train terminus, as well as a tube line going to all the historic sites of Rome.",E003RB00N002_000,The hotel is in a good location for a short walk to the main train terminus.
109,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N002,"The hotel is in a good location for a short walk to the main train terminus, as well as a tube line going to all the historic sites of Rome.",E003RB00N002_001,There is a tube line going to all the historic sites of Rome.
110,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N003,The hotel is also closely located to a supermarket.,E003RB00N003_000,The hotel is closely located to a supermarket.
111,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N004,The rooms in the hotel are clean and with a view .,E003RB00N004_000,The rooms in the hotel are clean.
112,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N004,The rooms in the hotel are clean and with a view .,E003RB00N004_001,The rooms in the hotel have a view.
113,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N005,The breakfast here at the hotel was really good and had a great range from pastries to scrambled eggs.,E003RB00N005_000,The breakfast at the hotel was really good.
114,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N005,The breakfast here at the hotel was really good and had a great range from pastries to scrambled eggs.,E003RB00N005_001,The breakfast had a great range from pastries to scrambled eggs.
115,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_b,0,E003RB00N006,Very tasty.,E003RB00N006_000,The food/dish is very tasty.
116,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_comm,0,E003RC00N000,The hotel is ideally located and good for local public transportation.,E003RC00N000_000,The hotel is ideally located.
117,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_comm,0,E003RC00N000,The hotel is ideally located and good for local public transportation.,E003RC00N000_001,The hotel is good for local public transportation.
118,3,train,240831,Apollo Hotel,316644,Raffaello Hotel,refs_comm,0,E003RC00N001,The staff at the hotel were very helpful too.,E003RC00N001_000,The staff at the hotel were very helpful.
119,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N000,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel.",E004RA00N000_000,This is a great condo.
120,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N000,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel.",E004RA00N000_001,The condo was comfortable.
121,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N000,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel.",E004RA00N000_002,The condo was convenient.
122,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N000,"This is a great condo that was comfortable, convenient, and much nicer than staying in a hotel.",E004RA00N000_003,Staying in the condo was much nicer than staying in a hotel.
123,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N001,It would be a shame not to come back again.,E004RA00N001_000,It would be a shame not to come back again.
124,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N002,The location of the hotel is perfectly situated on the lake and there is the option to rent boats down at Indian Point if needed.,E004RA00N002_000,The location of the hotel is perfectly situated on the lake.
125,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N002,The location of the hotel is perfectly situated on the lake and there is the option to rent boats down at Indian Point if needed.,E004RA00N002_001,There is the option to rent boats down at Indian Point if needed.
126,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N003,Fantastic views.,E004RA00N003_000,The hotel offers fantastic views of the city.
127,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N003,Fantastic views.,E004RA00N003_001,"From the top of the mountain, you can see fantastic views of the surrounding landscape."
128,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N003,Fantastic views.,E004RA00N003_002,The balcony provides fantastic views of the ocean.
129,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N004,As well as being really helpful the staff at this hotel were super friendly and nice.,E004RA00N004_000,The staff at this hotel were really helpful.
130,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N004,As well as being really helpful the staff at this hotel were super friendly and nice.,E004RA00N004_001,The staff at this hotel were super friendly and nice.
131,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N005,The units facing the lake had large covered patios to enjoy your coffee on.,E004RA00N005_000,The units face the lake.
132,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N005,The units facing the lake had large covered patios to enjoy your coffee on.,E004RA00N005_001,The units have large covered patios.
133,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N005,The units facing the lake had large covered patios to enjoy your coffee on.,E004RA00N005_002,You can enjoy your coffee on the patios.
134,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N006,"There is only one complaint and that is the people in the room above were up all night long, but that is the only downside to this hotel.",E004RA00N006_000,The only complaint is that the people in the room above were up all night long.
135,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_a,0,E004RA00N006,"There is only one complaint and that is the people in the room above were up all night long, but that is the only downside to this hotel.",E004RA00N006_001,The only downside to this hotel is the noise from the room above.
136,4,train,1413478,Village At Indian Point,90767,Chateau on the Lake Resort & Spa,refs_b,0,E004RB00N000,This was an okay stay here with some really lovely scenery around the place.,E004RB00N000_000,This was an okay stay here.
